ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
2,WK000300  ,3.9
10,WK000500  ,10.4
20,WK000700  ,12.1
30,WK000701  ,14.2
35,WK000702  ,7.5
46,WK000900  ,10.8
53,WK000901  ,13.2
61,WK001000  ,1.7
68,WK001001  ,7.5
74,WK001002  ,11.5
82,WK001003  ,8.2
91,WK001400  ,1.1
97,WK001401  ,3.1
105,WK001402  ,2.8
114,WK001403  ,1.8
119,WK001404  ,0.9
125,WK001405  ,2.1
133,WK001406  ,2
144,WK001407  ,1.5
152,WK001408  ,5.4
161,WK001409  ,4.2
172,WK001500  ,19.6
180,WK001501  ,22.2
183,WK001502  ,13
188,WK001503  ,17.4
193,WK001700  ,2.8
200,WK001701  ,6.1
210,WK001801  ,11.8
218,WK001802  ,12.1
229,WK001803  ,10.7
236,WK001805  ,7.8
239,WK001806  ,14.2
246,WK001807  ,12.1
249,WK001808  ,8.5
254,WK001809  ,5.8
256,WK001811  ,10.3
267,WK002200  ,16
274,WK002201  ,18.2
282,WK002202  ,16
286,WK002204  ,14
290,WK002205  ,11.9
293,WK002206  ,9.4
296,WK002207  ,11.7
300,WK002400  ,11.7
308,WK002401  ,16.4
313,WK002402  ,18.1
319,WK002403  ,12.4
328,WK002500  ,14.7
338,WK002501  ,13.8
346,WK003401  ,4.8
360,WK003402  ,2.8
381,WK003403  ,6.5
399,WK003404  ,6.9
411,WK003405  ,8.4
416,WK003406  ,
419,WK003701  ,2.8
433,WK003702  ,9.5
438,WK003703  ,9.9
443,WK003704  ,10.8
448,WK003705  ,8.4
452,WK004000  ,14.7
462,WK004001  ,15.8
468,WK004002  ,12.3
475,WK004003  ,10.3
482,WK004004  ,12.3
486,WK004700  ,1.3
495,WK004701  ,4.5
500,WK004702  ,3.4
507,WK004800  ,20.6
514,WK004801  ,15
521,WK004802  ,19
529,WK004803  ,15.8
534,WK004804  ,16.5
545,WK004805  ,18.5
548,WK004806  ,15.3
552,WK005000  ,12.9
565,WK005300  ,15.7
572,WK005301  ,15.6
577,WK005302  ,20.4
584,WK005303  ,10.5
590,WK005600  ,14.4
596,WK005601  ,21.3
602,WK005602  ,19.6
609,WK005603  ,10.4
615,WK005800  ,1.5
627,WK005801  ,6.7
637,WK005802  ,10.1
643,WK005803  ,11.7
651,WK005804  ,9.6
656,WK005805  ,9.3
665,WK005806  ,7.4
674,WK005807  ,6.1
682,WK005900  ,15
693,WK005901  ,14.8
700,WK005902  ,12.4
710,WK006000  ,29
719,WK006300  ,18.2
728,WK006301  ,16.1
735,WK006302  ,18.2
739,WK007000  ,10.6
750,WK007001  ,13.6
759,WK007002  ,14.3
767,WK007003  ,9.1
774,WK007004  ,9.4
781,WK007005  ,10.5
787,WK007200  ,1.5
796,WK007201  ,4.7
799,WK007202  ,7.4
803,WK007401  ,2.1
815,WK007402  ,5.7
821,WK007403  ,4.7
824,WK007404  ,10.8
832,WK007406  ,2.3
834,WK007407  ,4.6
837,WK007409  ,12.3
842,WK007900  ,13.5
845,WK007901  ,19.7
855,WK007902  ,9.8
861,WK007903  ,11.5
867,WK008010  ,2.5
876,WK008020  ,3.4
880,WK008021  ,4.5
884,WK008022  ,4.1
887,WK008023  ,5.4
891,WK008024  ,5
893,WK008030  ,3.5
896,WK008031  ,3.2
900,WK008032  ,2.5
905,WK008033  ,2.1
908,WK008034  ,3.3
910,WK008035  ,2.8
913,WK008036  ,4.5
917,WK008037  ,7.7
920,WK008038  ,3.2
922,WK008040  ,1.8
924,WK008041  ,1.7
926,WK008042  ,1.4
928,WK008043  ,1
933,WK008044  ,1.6
938,WK008045  ,1.3
942,WK008046  ,1.7
944,WK008050  ,3.6
948,WK008051  ,5.6
952,WK008052  ,6.5
955,WK008053  ,2.4
958,WK008054  ,3.8
962,WK008060  ,3.4
967,WK008061  ,3.2
971,WK008062  ,3.6
974,WK008063  ,4.1
977,WK008064  ,4.9
979,WK008065  ,5.1
981,WK008070  ,7.8
987,WK008071  ,9.6
993,WK008072  ,13.4
996,WK008073  ,13.6
1000,WK008100  ,10.5
1008,WK008101  ,8.4
1016,WK008500  ,21.2
1020,WK008501  ,17.2
1025,WK008502  ,18.9
1031,WK008503  ,17.3
1036,WK008504  ,19.2
1041,WK008505  ,17.1
1050,WK008600  ,12
1053,WK008601  ,8.8
1060,WK008602  ,11.4
1065,WK008603  ,9.3
1073,WK008604  ,7.2
1079,WK008605  ,12.8
1086,WK008800  ,34.2
1090,WK009000  ,2.9
1109,WK009001  ,7.5
1124,WK009300  ,35.1
1127,WK009301  ,40.1
1131,WK009302  ,41.8
1135,WK009303  ,43.2
1138,WK009304  ,44.4
1142,WK009305  ,47
1147,WK009600  ,36
1151,WK009800  ,12.3
1154,WK009801  ,11
1165,WK009802  ,14.9
1170,WK009803  ,15.5
1177,WK009804  ,14.3
1183,WK009805  ,13.9
1188,WK009806  ,8.8
1195,WK009807  ,11.9
1202,WK009808  ,13.7
1209,WK010600  ,1.9
1223,WK010601  ,3
1230,WK010602  ,1.9
1237,WK010603  ,2.4
1249,WK010604  ,3.1
1254,WK010605  ,2.9
1265,WK010606  ,2
1271,WK010607  ,2.2
1290,WK010608  ,5.7
1309,WK010699  ,4.2
1329,WK010910  ,1.4
1345,WK010911  ,4.4
1348,WK010912  ,6.8
1351,WK010913  ,4.8
1353,WK010914  ,7.5
1355,WK010920  ,5.7
1366,WK010930  ,12.3
1376,WK010940  ,11.3
1395,WK010950  ,14.8
1407,WK011401  ,10.5
1415,WK011402  ,12.5
1420,WK011403  ,9.9
1427,WK011404  ,12
1433,WK011405  ,6.8
1439,WK011406  ,10.9
1444,WK011407  ,10
1451,WK011408  ,9.8
1460,WK011409  ,13.4
1464,WK011410  ,10.6
1471,WK011413  ,11.1
1475,WK011421  ,18
1480,WK011432  ,16.1
1484,WK011440  ,1.6
1486,WK011441  ,1.2
1489,WK011442  ,2.3
1491,WK011443  ,2.4
1493,WK011444  ,3
1495,WK011445  ,2.9
1497,WK011446  ,4.2
1499,WK011447  ,6.1
1501,WK011448  ,10
1503,WK011449  ,6.3
1505,WK011450  ,4.9
1507,WK011451  ,4.3
1511,WK011452  ,3.3
1514,WK011453  ,3.4
1518,WK011850  ,3.1
1528,WK011851  ,1.8
1539,WK011852  ,3.3
1542,WK011853  ,8.4
1546,WK011854  ,7.9
1550,WK011855  ,6.5
1553,WK011856  ,10.6
1556,WK011857  ,8.5
