ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
1552,WK000300  ,3.9
1987,WK000500  ,10.4
2672,WK000900  ,10.8
2679,WK000901  ,13.2
3621,WK001000  ,1.7
3628,WK001001  ,7.6
3634,WK001002  ,11.5
3642,WK001003  ,8.1
5926,WK001400  ,1.1
5935,WK001401  ,1.9
5946,WK001402  ,2.2
5951,WK001403  ,1.8
5955,WK001404  ,0.9
5961,WK001405  ,2.1
5974,WK001406  ,2
5982,WK001407  ,1
5989,WK001408  ,5.4
6003,WK001409  ,4.7
6012,WK001410  ,3
6019,WK001411  ,4.5
6028,WK001412  ,3.8
6041,WK001413  ,6.3
6045,WK001414  ,6.8
6054,WK001500  ,19.7
6062,WK001501  ,22.4
6065,WK001502  ,13
6070,WK001503  ,17.9
6627,WK001700  ,2.7
6634,WK001701  ,6.1
8614,WK002200  ,16.2
8621,WK002201  ,18.2
8629,WK002202  ,16.2
8633,WK002204  ,14.4
8637,WK002205  ,12.5
8640,WK002206  ,10
8643,WK002207  ,12.2
9386,WK002400  ,11.7
9394,WK002401  ,16.4
9399,WK002402  ,18.1
9405,WK002403  ,12.4
9602,WK002500  ,14.8
9612,WK002501  ,13.9
405,WK003401  ,5.2
419,WK003402  ,2.8
442,WK003403  ,6.7
460,WK003404  ,1.2
470,WK003405  ,8
475,WK003406  ,
12848,WK003701  ,2.8
12862,WK003702  ,9.4
12867,WK003703  ,9.9
12872,WK003704  ,10.8
12877,WK003705  ,8.4
14371,WK004700  ,1.3
14380,WK004701  ,4.5
14385,WK004702  ,3.4
16226,WK005000  ,13
15851,WK005300  ,15.7
15858,WK005301  ,15.7
15863,WK005302  ,20.4
15870,WK005303  ,10.4
16397,WK005600  ,14.4
16403,WK005601  ,21.9
16409,WK005602  ,19.7
16416,WK005603  ,10.5
3974,WK005800  ,25.7
3987,WK005801  ,31.2
3997,WK005802  ,30.7
4003,WK005803  ,35.5
4011,WK005804  ,34.1
4016,WK005805  ,33.2
4025,WK005806  ,26.5
4034,WK005807  ,29.9
148,WK005900  ,19.4
