ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
18,WK000300,3.9
74,WK000500,10.3
144,WK000700,12.1
214,WK000701,14.2
249,WK000702,7.4
326,WK000900,10.7
375,WK000901,13.1
431,WK001000,1.7
480,WK001001,7.2
522,WK001002,11.5
578,WK001003,8.1
641,WK001400,1.1
683,WK001401,3.1
739,WK001402,2.8
802,WK001403,1.7
837,WK001404,0.8
879,WK001405,2.1
935,WK001406,2.5
1012,WK001407,1.6
1075,WK001408,5.3
1145,WK001409,4
1222,WK001500,19.5
1278,WK001501,22.2
1299,WK001502,13
1334,WK001503,17.3
1369,WK001700,6.6
1418,WK001701,9.6
1488,WK001801,11.9
1544,WK001802,12.1
1621,WK001803,10.7
1670,WK001805,7.8
1691,WK001806,14.6
1740,WK001807,13.6
1761,WK001808,10
1796,WK001809,7.4
1810,WK001811,10.3
1887,WK002200,15.9
1936,WK002201,18.3
1992,WK002202,15.7
2020,WK002204,13.9
2048,WK002205,11.8
2069,WK002206,9.4
2090,WK002207,11.7
2118,WK002400,11.6
2174,WK002401,16.3
2209,WK002402,18.1
2251,WK002403,12.4
2314,WK002500,14.7
2384,WK002501,13.9
2447,WK003401,4.9
2559,WK003402,2.6
2734,WK003403,6.1
2867,WK003404,7.6
2937,WK003405,8.3
2972,WK003406,
2993,WK003701,2.5
3105,WK003702,9.1
3140,WK003703,9.8
3175,WK003704,10.3
3210,WK003705,8.3
3455,WK004000,14.8
3525,WK004001,15.6
3567,WK004002,12.1
3616,WK004003,10.5
3665,WK004004,12.1
3693,WK004700,1.6
3756,WK004701,4.5
3791,WK004702,3.8
3840,WK004800,20.2
3889,WK004801,15
3938,WK004802,18.9
3994,WK004803,15.3
4029,WK004804,16.4
4120,WK004805,18.2
4141,WK004806,16.1
4183,WK005000,13
4267,WK005100,9.6
4344,WK005101,4.7
4386,WK005102,8.2
4449,WK005103,12.8
4512,WK005104,11.4
4582,WK005105,9.5
4610,WK005106,7.8
4778,WK005300,15.7
4827,WK005301,15
4862,WK005302,20.3
4911,WK005303,10.4
4960,WK005500,11.9
5310,WK005600,14.4
5366,WK005601,21.3
5408,WK005602,19.1
5457,WK005603,10.1
5499,WK005800,1.5
5583,WK005801,6.7
5653,WK005802,9.8
5695,WK005803,11.7
5751,WK005804,9.6
5786,WK005805,9.4
5877,WK005806,7.4
5940,WK005807,6.1
5996,WK005900,14.9
6073,WK005901,14.8
6122,WK005902,12.4
6192,WK006000,28.7
6255,WK006300,17.8
6318,WK006301,15.7
6367,WK006302,17.8
6395,WK006400,9.6
6605,WK007000,10.5
6682,WK007001,13.3
6745,WK007002,14.3
6801,WK007003,9
6850,WK007004,9
6899,WK007005,10.1
6941,WK007200,1.5
7032,WK007201,4.5
7053,WK007202,7
7081,WK007401,2.5
7284,WK007402,4.6
7340,WK007403,16.2
7375,WK007404,14.3
7452,WK007405,11.3
7466,WK007406,12.8
7494,WK007407,8.9
7508,WK007408,8.9
7522,WK007409,4.4
7536,WK007410,5.3
7550,WK007411,5.7
7564,WK007412,4
7578,WK007413,8.4
7592,WK007414,7.9
7606,WK007415,5.7
7627,WK007900,13.4
7648,WK007901,19
7718,WK007902,9.7
7760,WK007903,11.4
7802,WK008010,2.1
7886,WK008020,3
7914,WK008021,4
7942,WK008022,3.9
7984,WK008023,5
8033,WK008024,4.9
8047,WK008030,3
8075,WK008031,2.8
8117,WK008032,2.2
8152,WK008033,1.7
8173,WK008034,3.2
8187,WK008035,2.6
8208,WK008036,4.4
8236,WK008037,7.5
8257,WK008038,3.2
8271,WK008040,1.6
8285,WK008041,1.4
8299,WK008042,1.3
8313,WK008043,0.6
8362,WK008044,1.3
8411,WK008045,1.4
8439,WK008046,2
8453,WK008050,3.7
8509,WK008051,6
8565,WK008052,7
8600,WK008053,2.7
8712,WK008060,3.3
8768,WK008061,2.8
8803,WK008062,3.2
8824,WK008063,3.7
8845,WK008064,4.5
8873,WK008065,4.6
8908,WK008100,10.1
8964,WK008101,8
9020,WK008200,1.4
9083,WK008201,8.7
9342,WK008300,12.7
9391,WK008301,7.1
9447,WK008302,14
9475,WK008303,10.6
9524,WK008500,21.1
9552,WK008501,17.2
9587,WK008502,18.8
9629,WK008503,18
9664,WK008504,19.3
9699,WK008505,17
9762,WK008600,12.7
9783,WK008601,9.4
9832,WK008602,11.6
9867,WK008603,9.3
9937,WK008604,7.2
9979,WK008605,12.8
10028,WK008800,34.5
10056,WK009000,2.9
10203,WK009001,7.6
10308,WK009100,2.4
10462,WK009300,32
10483,WK009301,37.2
10511,WK009302,38.8
10539,WK009303,40.1
10560,WK009304,41.4
10588,WK009305,44
10623,WK009600,33.1
10651,WK009800,13.3
10672,WK009801,12
10749,WK009802,16.1
10784,WK009803,15.5
10833,WK009804,14.3
10875,WK009805,15
