ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
15,WK000300,3.9
71,WK000500,10.3
141,WK000700,11.9
211,WK000701,13.9
246,WK000702,7.1
323,WK000900,10.7
372,WK000901,13.2
428,WK001000,1.7
477,WK001001,7.5
519,WK001002,11.5
575,WK001003,8.1
638,WK001400,1.1
680,WK001401,3.1
736,WK001402,2.8
799,WK001403,1.8
834,WK001404,0.9
876,WK001405,2.1
932,WK001406,1.1
1009,WK001407,1.6
1065,WK001408,5.8
1142,WK001409,4
1219,WK001500,19.5
1275,WK001501,22.2
1296,WK001502,12.9
1331,WK001503,17.7
1366,WK001700,4.6
1415,WK001701,7.7
1485,WK001801,11.7
1541,WK001802,12.1
1618,WK001803,10.7
1667,WK001805,7.8
1688,WK001806,14.2
1737,WK001807,12
1758,WK001808,8.4
1793,WK001809,5.8
1807,WK001811,10.3
1884,WK002200,16.3
1933,WK002201,18.3
1989,WK002202,16.8
2017,WK002204,14.7
2045,WK002205,12.5
2066,WK002206,10.1
2087,WK002207,12.4
2115,WK002400,11.6
2171,WK002401,16.2
2206,WK002402,18.1
2248,WK002403,12.4
2311,WK002500,14.9
2381,WK002501,13.9
2437,WK003401,4.8
2549,WK003402,2.6
2731,WK003403,6
2857,WK003404,8.7
2934,WK003405,8.4
2969,WK003406,
2990,WK003701,2.5
3102,WK003702,9.1
3137,WK003703,9.8
3172,WK003704,10.3
3207,WK003705,7.8
3235,WK003900,5.2
3284,WK003901,4.5
3312,WK003902,10.8
3354,WK003903,7.3
3417,WK003904,12.8
3452,WK004000,14.6
3522,WK004001,15.5
3564,WK004002,12.1
3613,WK004003,10.3
3662,WK004004,12.1
3690,WK004700,1.6
3753,WK004701,4.4
3788,WK004702,3.9
3837,WK004800,20.2
3886,WK004801,14.9
3935,WK004802,18.5
3991,WK004803,15.3
4026,WK004804,16.4
4117,WK004805,18.1
4138,WK004806,16.1
4180,WK005000,12.9
4264,WK005100,9.6
4341,WK005101,4.7
4383,WK005102,8.2
4446,WK005103,12.8
4509,WK005104,15.7
4579,WK005105,9.6
4607,WK005106,7.7
4691,WK005200,1.3
4775,WK005300,15.6
4824,WK005301,15
4859,WK005302,20.3
4908,WK005303,10.4
4957,WK005500,11.9
5307,WK005600,14.3
5363,WK005601,20.9
5405,WK005602,19.1
5454,WK005603,10.2
5496,WK005800,1.5
5580,WK005801,6.7
5650,WK005802,9.8
5692,WK005803,11.7
5748,WK005804,9.6
5783,WK005805,9.4
5874,WK005806,7.4
5937,WK005807,6.1
5993,WK005900,14.9
6070,WK005901,14.8
6119,WK005902,12.4
6189,WK006000,28.7
6252,WK006300,17.7
6315,WK006301,15.7
6364,WK006302,17.8
6392,WK006400,9.4
6448,WK006500,4.8
6490,WK006501,5.5
6525,WK006502,10.6
6567,WK006503,5.5
6602,WK007000,10.5
6679,WK007001,13.3
6742,WK007002,14.3
6798,WK007003,9.5
6847,WK007004,9.3
6896,WK007005,10
6938,WK007200,1.5
7029,WK007201,4.5
7050,WK007202,7
7078,WK007401,2.5
7281,WK007402,4.6
7337,WK007403,16.2
7372,WK007404,14.4
7449,WK007405,11.3
7463,WK007406,12.8
7491,WK007407,8.9
7505,WK007408,9
7519,WK007409,4.4
7533,WK007410,5.4
7547,WK007411,5.8
7561,WK007412,4
7575,WK007413,8.5
7589,WK007414,7.9
7603,WK007415,5.7
7624,WK007900,13.4
7645,WK007901,19.1
7715,WK007902,9.7
