ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
1551,WK000300  ,3.9
1986,WK000500  ,10.4
2031,WK000700  ,12.1
2041,WK000701  ,14.2
2046,WK000702  ,7.5
2675,WK000900  ,10.8
2682,WK000901  ,13.2
3624,WK001000  ,1.7
3631,WK001001  ,7.6
3637,WK001002  ,11.5
3645,WK001003  ,8.1
5972,WK001400  ,1.1
5981,WK001401  ,1.9
5992,WK001402  ,2.2
5997,WK001403  ,1.8
6001,WK001404  ,0.9
6007,WK001405  ,2.1
6020,WK001406  ,2
6028,WK001407  ,1
6035,WK001408  ,5.5
6049,WK001409  ,4.7
6058,WK001410  ,3
6065,WK001411  ,4.5
6074,WK001412  ,3.8
6087,WK001413  ,6.3
6091,WK001414  ,6.8
6096,WK001500  ,19.7
6104,WK001501  ,22.3
6107,WK001502  ,13
6112,WK001503  ,17.8
6669,WK001700  ,2.7
6676,WK001701  ,6
7794,WK001801  ,11.8
7802,WK001802  ,12.1
7813,WK001803  ,10.7
7820,WK001805  ,7.8
7823,WK001806  ,14.2
7830,WK001807  ,12.1
7833,WK001808  ,8.4
7838,WK001809  ,5.8
7840,WK001811  ,10.3
8699,WK002200  ,16.1
8706,WK002201  ,18.2
8714,WK002202  ,16.2
8718,WK002204  ,14.4
8722,WK002205  ,12.5
8725,WK002206  ,10
8728,WK002207  ,12.3
9525,WK002400  ,11.7
9533,WK002401  ,16.4
9538,WK002402  ,18.1
9544,WK002403  ,12.5
9741,WK002500  ,14.8
9751,WK002501  ,13.8
405,WK003401  ,4.9
419,WK003402  ,2.8
442,WK003403  ,6.6
460,WK003404  ,1.2
470,WK003405  ,8.1
475,WK003406  ,
12978,WK003701  ,2.8
12992,WK003702  ,9.4
12997,WK003703  ,9.9
13002,WK003704  ,10.8
13007,WK003705  ,8.4
12792,WK004000  ,14.7
12802,WK004001  ,15.8
12808,WK004002  ,12.3
12815,WK004003  ,10.7
12822,WK004004  ,12.2
14451,WK004700  ,1.3
14460,WK004701  ,4.5
14465,WK004702  ,3.4
14924,WK004800  ,20.6
14931,WK004801  ,15
14938,WK004802  ,18.9
14946,WK004803  ,15.9
14951,WK004804  ,16.5
14962,WK004805  ,18.6
14965,WK004806  ,15.3
16142,WK005000  ,13
15767,WK005300  ,15.7
15774,WK005301  ,15.6
15779,WK005302  ,20.3
15786,WK005303  ,10.5
16292,WK005600  ,14.3
16298,WK005601  ,21.8
16304,WK005602  ,19.6
16311,WK005603  ,10.4
3977,WK005800  ,25.7
3990,WK005801  ,31.2
4000,WK005802  ,30.7
4006,WK005803  ,35.4
4014,WK005804  ,34.1
4019,WK005805  ,33.2
4028,WK005806  ,26.4
4037,WK005807  ,29.9
148,WK005900  ,19.4
159,WK005901  ,14.9
166,WK005902  ,12.4
612,WK006000  ,46.5
2465,WK006300  ,18.2
2474,WK006301  ,16.1
2481,WK006302  ,18.2
5118,WK007000  ,10.6
5129,WK007001  ,13.6
5138,WK007002  ,14.4
5146,WK007003  ,9.1
5153,WK007004  ,9.4
5160,WK007005  ,10.5
6686,WK007200  ,1.5
6695,WK007201  ,4.7
6698,WK007202  ,7.4
6801,WK007401  ,2
6813,WK007402  ,6.2
6819,WK007403  ,4.7
6822,WK007404  ,10.8
6830,WK007406  ,2.3
6832,WK007407  ,4.6
6835,WK007409  ,12.3
8384,WK007900  ,24.9
8387,WK007901  ,27.3
8397,WK007902  ,24.3
8403,WK007903  ,21.3
8741,WK008010  ,2.5
8750,WK008020  ,3.5
8754,WK008021  ,4.5
8758,WK008022  ,4.2
8761,WK008023  ,5.4
8765,WK008024  ,5
8767,WK008030  ,3.5
8770,WK008031  ,3.2
8774,WK008032  ,2.5
8779,WK008033  ,2.1
8782,WK008034  ,3.4
8784,WK008035  ,2.8
8787,WK008036  ,4.5
8791,WK008037  ,7.7
8794,WK008038  ,3.1
8796,WK008040  ,1.8
8798,WK008041  ,1.7
8800,WK008042  ,1.4
8802,WK008043  ,1
8807,WK008044  ,1.6
8812,WK008045  ,1.3
8816,WK008046  ,1.7
8818,WK008050  ,3.6
8822,WK008051  ,6.3
8826,WK008052  ,7.3
8829,WK008053  ,2.5
8832,WK008054  ,3.8
8834,WK008056  ,3.2
8836,WK008058  ,
8838,WK008060  ,3.7
8847,WK008061  ,3.2
8851,WK008062  ,3.6
8854,WK008063  ,4.1
8857,WK008064  ,4.9
8859,WK008065  ,5.1
8861,WK008069  ,
8863,WK008070  ,7.7
8869,WK008071  ,10.4
8875,WK008072  ,13.2
8878,WK008073  ,13.7
8882,WK008100  ,10.5
8890,WK008101  ,8.4
11262,WK008500  ,20.9
11266,WK008501  ,17.1
11271,WK008502  ,18.7
11277,WK008503  ,17.3
11282,WK008504  ,19.2
11287,WK008505  ,17.1
11317,WK008600  ,12
11320,WK008601  ,8.8
11327,WK008602  ,11.3
11332,WK008603  ,9.3
11340,WK008604  ,7.2
11346,WK008605  ,12.8
12560,WK008800  ,57.3
12877,WK009000  ,2.9
12896,WK009001  ,7.6
13544,WK009300  ,35.2
13547,WK009301  ,40.2
13551,WK009302  ,41.8
13555,WK009303  ,43.2
13558,WK009304  ,44.4
13562,WK009305  ,47.1
14969,WK009600  ,36
15546,WK009800  ,12.3
15549,WK009801  ,11
15560,WK009802  ,14.9
15565,WK009803  ,15.6
15572,WK009804  ,14.3
15578,WK009805  ,13.9
15583,WK009806  ,8.7
15590,WK009807  ,11.8
15597,WK009808  ,13.7
1667,WK010600  ,1.9
1681,WK010601  ,3
1688,WK010602  ,1.9
1695,WK010603  ,2.4
1707,WK010604  ,3.1
1712,WK010605  ,2.8
1723,WK010606  ,2
1729,WK010607  ,2.2
1748,WK010608  ,5.7
1767,WK010699  ,4.3
3303,WK010910  ,1.4
3319,WK010911  ,4.4
3322,WK010912  ,6.8
3325,WK010913  ,4.8
3327,WK010914  ,7.6
3329,WK010920  ,5.7
3340,WK010930  ,12.3
3350,WK010940  ,11.3
3369,WK010950  ,14.7
4788,WK011401  ,10.4
4796,WK011402  ,12.5
4801,WK011403  ,9.9
4808,WK011404  ,12
4814,WK011405  ,6.8
4820,WK011406  ,10.9
4825,WK011407  ,10
4832,WK011408  ,9.8
4841,WK011409  ,13.4
4845,WK011410  ,10.6
4852,WK011413  ,11.1
4856,WK011421  ,18
4861,WK011432  ,16.1
4865,WK011440  ,1.6
4867,WK011441  ,1.2
4870,WK011442  ,2.3
4872,WK011443  ,2.4
4874,WK011444  ,3
4876,WK011445  ,2.9
4878,WK011446  ,4.2
4880,WK011447  ,6.1
4882,WK011448  ,10
4884,WK011449  ,6.3
4886,WK011450  ,4.9
4888,WK011451  ,4.3
4892,WK011452  ,3.3
4895,WK011453  ,3.1
7732,WK011850  ,3.1
7742,WK011851  ,1.8
7753,WK011852  ,3.3
7756,WK011853  ,8.1
7760,WK011854  ,7.9
7764,WK011855  ,6.5
7767,WK011856  ,10.6
7770,WK011857  ,8.6
7773,WK011858  ,7.9
7776,WK011859  ,5.4
7779,WK011860  ,7.1
7784,WK011861  ,6.9
7786,WK011862  ,4.9
9968,WK011900  ,3.3
9972,WK011901  ,4.1
9975,WK011902  ,3.6
9979,WK011903  ,4.4
9984,WK011904  ,5.5
9987,WK011905  ,3.3
9990,WK011906  ,1.9
9995,WK011907  ,4.8
9998,WK011908  ,2.6
10000,WK011909  ,5.5
10003,WK011910  ,4.8
10009,WK011911  ,4.6
