ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
1613,WK000300  ,5.6
3719,WK001001  ,0.3
3721,WK001002  ,1.3
3727,WK001003  ,1.4
3732,WK001004  ,3.6
3741,WK001005  ,2.9
3745,WK001006  ,2.2
3753,WK001007  ,8.7
3764,WK001008  ,
3767,WK001009  ,10
5893,WK001400  ,1.1
5902,WK001401  ,1.9
5913,WK001402  ,2.2
5918,WK001403  ,1.8
5922,WK001404  ,0.9
5928,WK001405  ,2
5941,WK001406  ,2.2
5949,WK001407  ,1.1
5956,WK001408  ,5.1
5970,WK001409  ,4.7
5979,WK001410  ,3
5986,WK001411  ,4.7
5995,WK001412  ,3.9
6008,WK001413  ,6.2
6012,WK001414  ,6.6
6020,WK001415  ,10.8
6028,WK001416  ,13.9
6035,WK001417  ,2.2
6047,WK001418  ,3.3
6052,WK001419  ,6.4
9428,WK002400  ,13
9436,WK002401  ,17.6
9441,WK002402  ,18.1
9447,WK002403  ,13.5
382,WK003401  ,5.4
397,WK003402  ,2.8
420,WK003403  ,6.4
438,WK003404  ,1.2
448,WK003405  ,8.7
453,WK003406  ,
13243,WK003701  ,2.6
13257,WK003702  ,9.2
13262,WK003703  ,9.8
13267,WK003704  ,10.7
13272,WK003705  ,8
14799,WK004700  ,1.6
14808,WK004701  ,4.6
14813,WK004702  ,3.5
16820,WK005000  ,13.3
125,WK005900  ,19.5
136,WK005901  ,14.9
143,WK005902  ,12.3
673,WK006000  ,46.2
6619,WK007200  ,1.5
6628,WK007201  ,3.7
6631,WK007202  ,7.3
6734,WK007401  ,1.8
6746,WK007402  ,6.3
6752,WK007403  ,4.8
6755,WK007404  ,10.7
6763,WK007406  ,2.1
6765,WK007407  ,4.6
6768,WK007409  ,12.3
8747,WK008010  ,2.1
8756,WK008011  ,1.4
8766,WK008020  ,2.8
8776,WK008030  ,3.4
8784,WK008031  ,4.7
8787,WK008032  ,2.9
8791,WK008040  ,1.5
8796,WK008041  ,2
8807,WK008050  ,3
8811,WK008051  ,4.5
8817,WK008060  ,4.2
8821,WK008061  ,4
8824,WK008062  ,6.7
8835,WK008063  ,10.3
8843,WK008070  ,1.3
8848,WK008071  ,2.7
8850,WK008072  ,3.6
8854,WK008073  ,3.5
8860,WK008074  ,3.6
8863,WK008080  ,7.3
8872,WK008081  ,11
8890,WK008082  ,13
11430,WK008501  ,19.6
11442,WK008502  ,15.7
11446,WK008503  ,22.2
11449,WK008504  ,23
11452,WK008505  ,20.3
11455,WK008506  ,19.9
11464,WK008507  ,23.5
11467,WK008508  ,20
11470,WK008509  ,20.6
11473,WK008510  ,16.9
11477,WK008511  ,20.9
11496,WK008512  ,19.3
11499,WK008513  ,16.5
11524,WK008601  ,13.6
11528,WK008602  ,7.4
11538,WK008604  ,8.3
11541,WK008605  ,12.1
11550,WK008606  ,12.7
11553,WK008607  ,9
11556,WK008608  ,6.9
11559,WK008609  ,12
11562,WK008610  ,6.5
11565,WK008611  ,10.8
11568,WK008613  ,11.1
11571,WK008614  ,12.3
11574,WK008615  ,10.8
11577,WK008616  ,6.2
11585,WK008617  ,11.9
12873,WK008800  ,57.4
13142,WK009000  ,2.9
13161,WK009001  ,7.4
13845,WK009300  ,35
13848,WK009301  ,40.2
13852,WK009302  ,41.8
13856,WK009303  ,43.2
13859,WK009304  ,44.4
13863,WK009305  ,47
15311,WK009600  ,36
16273,WK009800  ,11.9
16295,WK009801  ,9.5
16300,WK009802  ,12.9
16303,WK009803  ,16.1
16309,WK009804  ,14.9
16313,WK009805  ,14.1
16316,WK009806  ,9.6
16319,WK009807  ,8.3
16322,WK009808  ,10.2
16325,WK009809  ,14.1
16329,WK009810  ,13
16339,WK009811  ,14.6
16342,WK009812  ,16
16344,WK009813  ,17.6
16347,WK009814  ,14.3
