ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
19,WK000300,3.9
75,WK000500,10.3
145,WK000700,11.9
215,WK000701,13.9
250,WK000702,7.2
327,WK000900,10.8
376,WK000901,13.2
432,WK001000,1.7
481,WK001001,7.4
523,WK001002,11.4
579,WK001003,8.1
642,WK001400,1.1
684,WK001401,3.1
740,WK001402,2.8
803,WK001403,1.8
838,WK001404,0.8
880,WK001405,2.1
936,WK001406,2.3
1013,WK001407,1.4
1076,WK001408,5.5
1146,WK001409,4
1223,WK001500,19.6
1279,WK001501,22.2
1300,WK001502,13
1335,WK001503,17.7
1370,WK001700,6.4
1419,WK001701,9.4
1489,WK001801,11.9
1545,WK001802,12.1
1622,WK001803,10.7
1671,WK001805,7.8
1692,WK001806,14.5
1741,WK001807,13.5
1762,WK001808,10
1797,WK001809,7.4
1811,WK001811,10.3
1888,WK002200,16.1
1937,WK002201,18.2
1993,WK002202,16.2
2021,WK002204,14.4
2049,WK002205,12.3
2070,WK002206,9.9
2091,WK002207,12.2
2119,WK002400,11.6
2175,WK002401,16.3
2210,WK002402,18.1
2252,WK002403,12.4
2315,WK002500,14.7
2385,WK002501,13.9
2448,WK003401,4.9
2560,WK003402,2.7
2735,WK003403,6.2
2868,WK003404,7.8
2938,WK003405,8.4
2973,WK003406,
2994,WK003701,2.5
3106,WK003702,9.1
3141,WK003703,9.8
3176,WK003704,10.3
3211,WK003705,8.3
3456,WK004000,14.9
3526,WK004001,15.6
3568,WK004002,12.2
3617,WK004003,10.5
3666,WK004004,12.2
3694,WK004700,1.6
3757,WK004701,4.5
3792,WK004702,3.8
3841,WK004800,20.2
3890,WK004801,14.9
3939,WK004802,18.7
3995,WK004803,15.3
4037,WK004804,16.4
4121,WK004805,18.2
4149,WK004806,15.3
4184,WK005000,13
4268,WK005100,9.6
4345,WK005101,4.6
4387,WK005102,8.2
4450,WK005103,12.7
4513,WK005104,11.4
4583,WK005105,9.5
4611,WK005106,7.8
4779,WK005300,15.7
4828,WK005301,14.9
4863,WK005302,20.3
4912,WK005303,10.4
4961,WK005500,11.9
5311,WK005600,14.4
5367,WK005601,21.3
5409,WK005602,19.1
5458,WK005603,10.1
5500,WK005800,1.5
5584,WK005801,6.7
5654,WK005802,9.8
5696,WK005803,11.7
5752,WK005804,9.6
5787,WK005805,9.4
5878,WK005806,7.4
5941,WK005807,6.1
5997,WK005900,14.9
6074,WK005901,14.8
6123,WK005902,12.4
6193,WK006000,28.7
6256,WK006300,17.6
6319,WK006301,15.5
6368,WK006302,17.8
6606,WK007000,10.5
6683,WK007001,13.3
6746,WK007002,14.3
6802,WK007003,9.1
6851,WK007004,9.1
6900,WK007005,10.1
6942,WK007200,1.5
7033,WK007201,4.5
7054,WK007202,7
7089,WK007401,2.4
7292,WK007402,5.7
7348,WK007403,5.4
7383,WK007404,11.4
7474,WK007406,3.8
7628,WK007900,13.4
7649,WK007901,19
7719,WK007902,9.7
7761,WK007903,11.4
7803,WK008010,1.9
7887,WK008020,2.8
7915,WK008021,3.8
7943,WK008022,3.7
7985,WK008023,4.8
8034,WK008024,5
8048,WK008030,2.8
8076,WK008031,2.6
8118,WK008032,2.1
8153,WK008033,1.6
8174,WK008034,3.3
8188,WK008035,2.8
8209,WK008036,4.5
8237,WK008037,7.6
8258,WK008038,3.5
8272,WK008040,1.7
8286,WK008041,1.6
8300,WK008042,1.4
8314,WK008043,0.5
8363,WK008044,1.1
8412,WK008045,1.7
8440,WK008046,1.8
8454,WK008050,3.9
8510,WK008051,5.9
8566,WK008052,6.8
8601,WK008053,2.7
8713,WK008060,3.1
8769,WK008061,2.7
8804,WK008062,3
8825,WK008063,3.5
8846,WK008064,4.3
8874,WK008065,4.7
8909,WK008100,9.9
8965,WK008101,7.8
9091,WK008201,1.4
9217,WK008202,6.9
