ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
6068,WK001400  ,1.1
6077,WK001401  ,1.9
6088,WK001402  ,2.2
6093,WK001403  ,1.8
6097,WK001404  ,0.9
6103,WK001405  ,2
6116,WK001406  ,2.2
6124,WK001407  ,1.1
6131,WK001408  ,5.2
6145,WK001409  ,4.8
6154,WK001410  ,3.1
6161,WK001411  ,4.8
6170,WK001412  ,3.9
6183,WK001413  ,6.3
6187,WK001414  ,6.7
6195,WK001415  ,10.9
6203,WK001416  ,13.9
6210,WK001417  ,2.2
6222,WK001418  ,3.2
6227,WK001419  ,6.5
385,WK003401  ,5.6
400,WK003402  ,2.9
423,WK003403  ,6.9
441,WK003404  ,1.2
453,WK003405  ,8.9
458,WK003406  ,
13486,WK003701  ,2.7
13500,WK003702  ,9.2
13505,WK003703  ,9.8
13510,WK003704  ,10.7
13515,WK003705  ,8
15062,WK004700  ,1.6
15071,WK004701  ,4.7
15076,WK004702  ,3.6
17160,WK005000  ,13.3
125,WK005900  ,19.5
136,WK005901  ,14.9
143,WK005902  ,12.4
687,WK006000  ,46.4
6798,WK007200  ,1.5
6807,WK007201  ,3.7
6810,WK007202  ,7.3
6913,WK007401  ,1.8
6925,WK007402  ,6.3
6931,WK007403  ,4.8
6934,WK007404  ,10.7
6942,WK007406  ,2.1
6944,WK007407  ,4.6
6947,WK007409  ,12.3
8956,WK008010  ,2.3
8965,WK008011  ,1.5
8975,WK008020  ,2.9
8985,WK008030  ,3.5
8993,WK008031  ,4.9
8996,WK008032  ,3.1
9000,WK008040  ,1.6
9005,WK008041  ,2.2
9016,WK008050  ,3.1
9020,WK008051  ,4.7
9026,WK008060  ,4.4
9030,WK008061  ,4.2
9033,WK008062  ,6.8
9044,WK008063  ,10.4
9052,WK008070  ,1.5
9057,WK008071  ,2.8
9059,WK008072  ,3.8
9063,WK008073  ,3.6
9069,WK008074  ,3.7
9072,WK008080  ,7.5
9081,WK008081  ,11.1
9099,WK008082  ,13.1
11673,WK008501  ,19.8
11685,WK008502  ,15.7
11689,WK008503  ,22.2
11692,WK008504  ,23.1
11695,WK008505  ,20.2
11698,WK008506  ,19.9
11707,WK008507  ,23.4
11710,WK008508  ,20
11713,WK008509  ,20.6
11716,WK008510  ,16.9
11720,WK008511  ,20.9
11739,WK008512  ,19.5
11742,WK008513  ,16.5
11767,WK008601  ,13.6
11771,WK008602  ,7.4
11781,WK008604  ,8.3
11784,WK008605  ,12.1
11793,WK008606  ,12.6
11796,WK008607  ,9
11799,WK008608  ,6.9
11802,WK008609  ,12
11805,WK008610  ,6.6
11808,WK008611  ,10.8
11811,WK008613  ,11.1
11814,WK008614  ,12.3
11817,WK008615  ,10.9
11820,WK008616  ,6.2
11828,WK008617  ,11.9
13116,WK008800  ,57.5
13385,WK009000  ,2.9
13404,WK009001  ,7.4
14108,WK009300  ,35
14111,WK009301  ,40.1
14115,WK009302  ,41.8
14119,WK009303  ,43.2
14122,WK009304  ,44.4
14126,WK009305  ,47
15644,WK009600  ,36
16613,WK009800  ,11.9
16635,WK009801  ,9.4
16640,WK009802  ,13
16643,WK009803  ,16.1
16649,WK009804  ,14.9
16653,WK009805  ,14.1
16656,WK009806  ,9.7
16659,WK009807  ,8.3
16662,WK009808  ,10.2
16665,WK009809  ,14.1
16669,WK009810  ,13
16679,WK009811  ,14.6
16682,WK009812  ,16
16684,WK009813  ,17.6
16687,WK009814  ,14.3
16690,WK009815  ,13.1
1736,WK010600  ,1.7
1750,WK010601  ,2.9
1757,WK010602  ,1.9
1764,WK010603  ,1.7
1776,WK010604  ,3.1
1781,WK010605  ,3
1792,WK010606  ,2
1798,WK010607  ,2.3
1817,WK010608  ,5.7
1836,WK010699  ,4.3
3456,WK010910  ,1.5
3472,WK010911  ,5
3475,WK010912  ,7.5
3478,WK010913  ,4.3
3480,WK010914  ,7
3482,WK010920  ,6.1
3493,WK010930  ,12.5
3503,WK010940  ,11.6
3522,WK010950  ,15
4987,WK011401  ,10.7
4995,WK011402  ,12.9
5000,WK011403  ,10.4
5007,WK011404  ,12
5013,WK011405  ,6.7
5019,WK011406  ,10.9
5024,WK011407  ,10
5031,WK011408  ,9.7
5040,WK011409  ,13.3
5044,WK011410  ,10.1
5051,WK011413  ,11.1
5055,WK011421  ,17.5
5060,WK011432  ,16
5064,WK011440  ,1.8
5066,WK011441  ,1.5
