ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
3753,WK015005  ,4.3
3756,WK015006  ,2.7
3763,WK015007  ,2.6
3770,WK015008  ,3.1
3774,WK015009  ,3.1
3782,WK015010  ,4
3793,WK015011  ,5.5
3797,WK015012  ,2.1
3800,WK015013  ,10.9
3802,WK015014  ,7.3
3806,WK015015  ,8.8
4892,WK015300  ,1.2
4902,WK015301  ,2.3
4910,WK015302  ,2
4920,WK015303  ,3.1
4923,WK015304  ,3
4931,WK015305  ,3
4936,WK015306  ,3.6
4947,WK015307  ,3.9
4952,WK015308  ,5.7
4962,WK015309  ,5.5
6016,WK015800  ,1.6
6034,WK015801  ,2.5
6039,WK015802  ,5
6042,WK015803  ,6.6
6045,WK015804  ,5.9
6047,WK015805  ,8.2
6049,WK015806  ,5.1
6051,WK015809  ,1.3
6348,WK016001  ,6.5
6351,WK016002  ,8.7
6353,WK016003  ,4.9
6355,WK016004  ,11.1
6363,WK016005  ,6.3
6367,WK016006  ,3.7
6369,WK016007  ,4.9
6371,WK016008  ,11.7
6377,WK016009  ,11.1
6387,WK016010  ,6.9
6389,WK016011  ,8.7
6391,WK016012  ,6.3
6394,WK016013  ,5
6396,WK016014  ,8.7
6398,WK016015  ,10.4
6400,WK016016  ,2.5
6402,WK016017  ,6.6
6405,WK016018  ,4.5
6407,WK016019  ,7.9
6412,WK016020  ,8.6
6415,WK016021  ,6.7
6417,WK016022  ,5.8
6419,WK016023  ,7.9
6421,WK016024  ,12.6
6424,WK016025  ,4
6427,WK016026  ,10.3
6432,WK016027  ,3.9
6434,WK016028  ,2.4
6444,WK016029  ,6
6950,WK016301  ,12.3
6957,WK016302  ,10
6961,WK016303  ,8.9
6966,WK016304  ,8
6975,WK016305  ,9.9
6985,WK016306  ,11.1
6992,WK016307  ,10.1
6994,WK016308  ,6.8
6996,WK016309  ,3.6
7125,WK016400  ,2.1
7129,WK016401  ,2.6
7134,WK016402  ,3.5
7140,WK016403  ,6
7151,WK016404  ,4.3
7156,WK016405  ,3
7164,WK016406  ,1.6
7172,WK016407  ,1.4
7180,WK016408  ,5.9
7187,WK016409  ,5.8
8198,WK016600  ,1.9
8218,WK016603  ,3.1
8227,WK016604  ,9.3
8230,WK016605  ,6.8
8233,WK016606  ,4.4
8235,WK016607  ,7.7
8237,WK016608  ,8.5
8239,WK016609  ,8.3
9402,WK016800  ,8.2
9407,WK016801  ,8.7
9411,WK016802  ,12
9414,WK016803  ,5.6
9417,WK016804  ,8.4
10799,WK017101  ,1.8
10818,WK017102  ,8.3
10822,WK017103  ,10.6
10825,WK017104  ,9.3
10829,WK017105  ,15
10834,WK017106  ,12
10838,WK017107  ,9.4
10842,WK017108  ,6
10846,WK017109  ,8.6
10850,WK017110  ,11.9
10854,WK017111  ,6.8
10858,WK017112  ,
11079,WK017301  ,0.8
11081,WK017302  ,0.6
11083,WK017303  ,1.3
11085,WK017304  ,1.6
11087,WK017305  ,1.2
11089,WK017306  ,1.2
11091,WK017307  ,3.6
11093,WK017308  ,2
11095,WK017309  ,2.7
11097,WK017310  ,3.8
11099,WK017311  ,2.7
11101,WK017312  ,3
11103,WK017313  ,2.8
11105,WK017314  ,2.3
11144,WK017501  ,1.8
11171,WK017502  ,3.8
11174,WK017503  ,8.9
11176,WK017504  ,7.6
11180,WK017505  ,8.7
11182,WK017506  ,5.6
11184,WK017507  ,8.7
11188,WK017508  ,7.1
11191,WK017509  ,5.9
11194,WK017510  ,10
11197,WK017511  ,6.8
11848,WK017700  ,2.6
11858,WK017701  ,2.5
11868,WK017702  ,8.9
11871,WK017703  ,8.2
11875,WK017704  ,7.6
11880,WK017705  ,5.3
11885,WK017706  ,12
11888,WK017708  ,5.9
11897,WK017709  ,8.3
11900,WK017710  ,8
13097,WK018000  ,7
13106,WK018001  ,10.6
13110,WK018002  ,11.8
13115,WK018003  ,6.2
13121,WK018004  ,8.2
13124,WK018005  ,12.6
13126,WK018006  ,4
13128,WK018007  ,14.2
14091,WK018300  ,5
14095,WK018301  ,7.4
14098,WK018302  ,4.7
14102,WK018303  ,1.4
14105,WK018304  ,5.3
14108,WK018305  ,6
14113,WK018306  ,5.4
14117,WK018307  ,7.7
14324,WK018400  ,10.4
