ID,WijkenEnBuurten,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15
13228,WK059908  ,1.4,3.7
13237,WK059910  ,2.1,2.3
13247,WK059912  ,2.9,3
13252,WK059913  ,9.2,9.2
13254,WK059914  ,2.9,4.2
13263,WK059915  ,2.3,2.3
13274,WK059916  ,4.7,4.7
13277,WK059917  ,4.4,14.8
13281,WK059918  ,3.8,3.8
13283,WK059919  ,3.6,3.6
13285,WK059921  ,6.8,6.8
13289,WK059922  ,       .,       .
13291,WK059923  ,12.9,24.1
13295,WK059924  ,       .,       .
13297,WK059925  ,       .,       .
13299,WK059927  ,1.2,12.7
13303,WK027700  ,3,5.1
13307,WK084000  ,3.9,9.7
13310,WK084001  ,0.9,12.8
13313,WK084002  ,2.4,12.9
13317,WK084003  ,7.4,11.3
13320,WK084004  ,4.7,7.8
13324,WK044101  ,5.1,20.2
13329,WK044102  ,1.7,20.1
13334,WK044103  ,11.1,17
13338,WK044104  ,6.4,18.4
13346,WK044105  ,10.6,13.1
13357,WK044106  ,8.7,15.2
13362,WK044107  ,8.2,16.2
13365,WK044108  ,5.8,15.5
13369,WK044109  ,7.1,19.8
13372,WK044110  ,1.8,20.8
13378,WK044111  ,13.6,18.9
13385,WK044112  ,7.4,20.9
13388,WK044113  ,8,15.8
13394,WK044114  ,8.9,20.4
13399,WK044115  ,12.2,14.9
13406,WK044116  ,2.6,20.4
13413,WK044117  ,1.1,21
13420,WK027900  ,9.6,15.6
13425,WK060600  ,2.6,2.6
13427,WK060601  ,3.3,3.3
13435,WK060602  ,2.3,2.3
13439,WK060603  ,2.3,2.3
13449,WK060604  ,3.5,3.5
13455,WK060605  ,3.8,3.8
13457,WK060606  ,1.8,1.8
13465,WK060607  ,1.8,1.8
13473,WK060608  ,4.1,4.1
13477,WK060609  ,3.2,3.2
13488,WK008800  ,57.7,57.7
13492,WK167600  ,1.9,25.7
13501,WK167601  ,9.1,34
13504,WK167602  ,7.8,30.9
13507,WK167603  ,6.4,26.9
13510,WK167604  ,4.4,28.9
13514,WK167605  ,13.6,18.7
13518,WK167606  ,6.8,24.7
13521,WK167607  ,9.6,22.4
13526,WK167608  ,6.9,27.6
13529,WK167609  ,12,30.4
13532,WK167610  ,5.6,30.2
13535,WK167611  ,12.9,29.9
13538,WK167612  ,16.5,35.7
13547,WK167613  ,15.4,32.3
13553,WK167614  ,13.2,31.6
13556,WK167615  ,10.7,32.6
13560,WK096500  ,5.7,5.7
13566,WK096501  ,8.1,8.1
13572,WK084500  ,6.9,8.6
13580,WK084501  ,5.1,11.9
13584,WK084502  ,7.3,9
13590,WK084503  ,5.4,10.4
13596,WK084504  ,7.4,11.9
13601,WK188300  ,3.9,3.9
13604,WK188301  ,2.3,2.3
13610,WK188302  ,4.3,4.3
13619,WK188303  ,3.5,3.5
13622,WK188304  ,4.7,4.7
13626,WK188305  ,2.7,2.7
13634,WK188306  ,8.2,8.3
13642,WK188307  ,10.1,10.1
13647,WK061001  ,2.8,2.8
13657,WK061002  ,1.7,1.7
13669,WK061003  ,2.6,2.6
13677,WK061004  ,1.3,1.3
13685,WK171400  ,9.1,9.1
13689,WK171401  ,8.7,8.7
13692,WK171402  ,8.5,8.5
13695,WK171403  ,10.8,10.8
13698,WK171404  ,7.4,7.4
13701,WK171405  ,1.4,1.4
13704,WK171406  ,3.4,3.4
13707,WK171407  ,8.3,8.3
13711,WK171408  ,7.4,7.4
13715,WK171409  ,7.9,7.9
13718,WK171410  ,11.4,11.4
13721,WK171411  ,14.3,14.3
13726,WK171412  ,11.7,11.7
13729,WK171413  ,6.8,6.8
13732,WK171414  ,6.5,6.5
13736,WK009000  ,2.9,2.9
13755,WK009001  ,7.5,7.5
13770,WK034201  ,4,8.1
13774,WK034202  ,5.2,8
13776,WK034203  ,5.7,9.4
13781,WK034204  ,5.1,6.6
13787,WK034205  ,6.1,7.2
13789,WK034206  ,6.6,8
13795,WK034207  ,5.9,5.9
13802,WK034208  ,5.9,5.9
13808,WK084700  ,13,13.1
13812,WK084701  ,8.3,8.3
13816,WK084702  ,14.2,14.2
13820,WK084703  ,13.4,13.4
13823,WK084709  ,4.1,4.1
13826,WK084800  ,8.1,8.1
13832,WK084801  ,8.7,8.7
13837,WK003701  ,2.8,2.8
13851,WK003702  ,9.6,9.6
13856,WK003703  ,9.9,9.9
13861,WK003704  ,10.9,10.9
13866,WK003705  ,8.4,8.4
13870,WK018000  ,7,7
13879,WK018001  ,10.6,10.6
13883,WK018002  ,11.8,11.8
13888,WK018003  ,6.3,6.3
13894,WK018004  ,8.2,8.2
13897,WK018005  ,12.7,12.7
13899,WK018006  ,4,4
13901,WK018007  ,14.4,14.4
13904,WK053201  ,5.4,15.3
13908,WK053202  ,4.2,14.5
13920,WK053203  ,4.2,14.9
13934,WK085100  ,1.3,13.4
13943,WK085101  ,7.5,8.2
13946,WK085102  ,5.5,16.3
13949,WK085103  ,7,18
13954,WK085104  ,8.2,16.5
13958,WK170800  ,1.5,15.4
13975,WK170802  ,11.2,23.2
13979,WK170803  ,13.3,28
13982,WK170804  ,13,27.2
13986,WK170805  ,15.4,30.4
13990,WK170806  ,9.1,21.7
13994,WK170807  ,16.4,22
13999,WK170808  ,18.4,19
14007,WK170810  ,14.3,14.3
14010,WK170811  ,9.8,9.9
14019,WK170816  ,14.7,25.1
14024,WK170817  ,8.7,16
14033,WK170818  ,2.4,15.6
14036,WK170819  ,4,12.3
14039,WK170820  ,4.7,15.1
14042,WK170821  ,4.2,18.6
14045,WK170822  ,3.3,17.8
14047,WK170823  ,4.6,19.8
14049,WK170824  ,3.7,18.8
14052,WK170825  ,5.7,21
14054,WK170826  ,6.2,20.6
14057,WK170827  ,5.6,21
14059,WK170828  ,2.2,17.8
14062,WK170829  ,4.6,20
14065,WK170830  ,6.6,22.1
14068,WK170831  ,8.9,22.9
14070,WK170832  ,12.2,24.8
14072,WK170833  ,15.5,26.1
14075,WK170834  ,11.6,23.9
14078,WK170835  ,13.3,25.3
14080,WK170836  ,14.7,26.7
14083,WK097100  ,7.6,7.6
14090,WK097101  ,8.4,8.4
14094,WK097102  ,7.1,7.1
14100,WK190401  ,6.5,6.6
14120,WK190402  ,11.2,11.2
14137,WK190403  ,13.4,13.4
14150,WK190404  ,9.8,14.1
14153,WK190405  ,10.2,10.7
14163,WK190406  ,12.4,12.9
14168,WK190407  ,7.3,9.8
14172,WK190408  ,6.3,11.6
14178,WK190409  ,13.5,13.6
14186,WK190410  ,10.3,10.3
14191,WK190411  ,5.4,6.8
14193,WK190412  ,5.5,5.5
14210,WK190000  ,9.7,9.7
14217,WK190001  ,2.5,2.5
14238,WK190002  ,21.8,21.8
14244,WK190003  ,22.4,28.7
14250,WK190004  ,24.1,33.5
14257,WK190005  ,4.6,4.6
14262,WK190006  ,9,9
14269,WK190007  ,5.7,5.7
14276,WK190008  ,12.9,12.9
14283,WK190009  ,8.4,8.4
14294,WK190010  ,5.1,5.1
14301,WK190011  ,5.8,5.8
14306,WK190012  ,13.1,13.1
14314,WK190013  ,7.5,18.5
14323,WK190014  ,11.8,14.1
14334,WK190015  ,10.3,19.7
14340,WK190016  ,14.2,14.2
14349,WK190017  ,14.5,19.8
14352,WK190018  ,18.2,19.7
14360,WK190019  ,10.6,10.6
14366,WK190020  ,11.4,11.4
14387,WK071501  ,6.3,6.3
14389,WK071502  ,5.4,5.7
14391,WK071503  ,14.9,14.9
14393,WK071504  ,14.6,14.6
14395,WK071505  ,8,8
14397,WK071506  ,8.5,8.5
14399,WK071507  ,11,13.8
14401,WK071508  ,10.1,13
14403,WK071509  ,14.4,14.4
