ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
20,WK000300,3.9
76,WK000500,10.3
146,WK000700,11.8
216,WK000701,13.9
251,WK000702,7.2
328,WK000900,10.8
377,WK000901,13.2
433,WK001000,1.7
482,WK001001,7.4
524,WK001002,11.4
580,WK001003,8.2
643,WK001400,1.1
685,WK001401,3.1
741,WK001402,2.7
804,WK001403,1.8
839,WK001404,0.9
881,WK001405,2.1
937,WK001406,2.3
1014,WK001407,1.4
1077,WK001408,5.5
1147,WK001409,4
1224,WK001500,19.6
1280,WK001501,22.2
1301,WK001502,13
1336,WK001503,17.7
1371,WK001700,6.4
1420,WK001701,9.4
1490,WK001801,11.9
1546,WK001802,12.1
1623,WK001803,10.7
1672,WK001805,7.8
1693,WK001806,14.5
1742,WK001807,13.6
1763,WK001808,10
1798,WK001809,7.4
1812,WK001811,10.3
1889,WK002200,16.1
1938,WK002201,18.2
1994,WK002202,16.2
2022,WK002204,14.3
2050,WK002205,12.3
2071,WK002206,9.9
2092,WK002207,12.2
2120,WK002400,11.6
2176,WK002401,16.3
2211,WK002402,18.1
2253,WK002403,12.4
2316,WK002500,14.7
2386,WK002501,13.8
2449,WK003401,4.7
2561,WK003402,2.7
2736,WK003403,6.4
2869,WK003404,7.3
2939,WK003405,8.5
2974,WK003406,
2995,WK003701,2.5
3107,WK003702,9.1
3142,WK003703,9.7
3177,WK003704,10.4
3212,WK003705,8.2
3457,WK004000,14.9
3527,WK004001,15.7
3569,WK004002,12.2
3618,WK004003,10.5
3667,WK004004,12.2
3695,WK004700,1.6
3758,WK004701,4.5
3793,WK004702,3.8
3842,WK004800,20.2
3891,WK004801,14.9
3940,WK004802,18.7
3996,WK004803,15.3
4038,WK004804,16.4
4122,WK004805,18.1
4150,WK004806,15.3
4185,WK005000,13
4269,WK005100,9.6
4346,WK005101,4.6
4388,WK005102,8.2
4451,WK005103,12.9
4514,WK005104,11.5
4584,WK005105,9.5
4612,WK005106,7.8
4780,WK005300,15.7
4829,WK005301,15
4864,WK005302,20.3
4913,WK005303,10.4
4962,WK005500,12
5312,WK005600,14.4
5368,WK005601,21.3
5410,WK005602,19.1
5459,WK005603,10.1
5501,WK005800,1.5
5585,WK005801,6.7
5655,WK005802,9.9
5697,WK005803,11.7
5753,WK005804,9.6
5788,WK005805,9.3
5879,WK005806,7.4
5942,WK005807,6.1
5998,WK005900,15
6075,WK005901,14.8
6124,WK005902,12.4
