ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
17,WK000300,3.9
73,WK000500,10.3
143,WK000700,12.1
213,WK000701,14.2
248,WK000702,7.4
325,WK000900,10.7
374,WK000901,13.2
430,WK001000,1.7
479,WK001001,7.5
521,WK001002,11.5
577,WK001003,8.1
640,WK001400,1.1
682,WK001401,3.1
738,WK001402,2.8
801,WK001403,1.8
836,WK001404,0.8
878,WK001405,2.1
934,WK001406,1.2
1011,WK001407,1.7
1074,WK001408,5.7
1144,WK001409,4
1221,WK001500,19.6
1277,WK001501,22.2
1298,WK001502,13
1333,WK001503,17.8
1368,WK001700,4.6
1417,WK001701,7.7
1487,WK001801,11.8
1543,WK001802,12.1
1620,WK001803,10.7
1669,WK001805,7.8
1690,WK001806,14.2
1739,WK001807,12
1760,WK001808,8.4
1795,WK001809,5.9
1809,WK001811,10.3
1886,WK002200,16.3
1935,WK002201,18.3
1991,WK002202,16.6
2019,WK002204,14.6
2047,WK002205,12.4
2068,WK002206,10
2089,WK002207,12.3
2117,WK002400,11.6
2173,WK002401,16.3
2208,WK002402,18.1
2250,WK002403,12.4
2313,WK002500,14.8
2383,WK002501,13.9
2439,WK003401,4.8
2551,WK003402,2.6
2733,WK003403,6.1
2859,WK003404,
2936,WK003405,8.3
2971,WK003406,
2992,WK003701,2.5
3104,WK003702,9.1
3139,WK003703,9.8
3174,WK003704,10.3
3209,WK003705,8.2
3237,WK003900,5
3286,WK003901,4.3
3314,WK003902,10.5
3356,WK003903,7.2
3419,WK003904,12.8
3454,WK004000,14.6
3524,WK004001,15.6
3566,WK004002,12.2
3615,WK004003,10.3
3664,WK004004,12.2
3692,WK004700,1.6
3755,WK004701,4.5
3790,WK004702,3.8
3839,WK004800,20.1
3888,WK004801,14.9
3937,WK004802,18.8
3993,WK004803,15.3
4028,WK004804,16.4
4119,WK004805,18.2
4140,WK004806,16
4182,WK005000,12.8
4266,WK005100,9.6
4343,WK005101,4.7
4385,WK005102,8.2
4448,WK005103,12.8
4511,WK005104,15.8
4581,WK005105,9.6
4609,WK005106,7.8
4693,WK005200,1.4
4777,WK005300,15.7
4826,WK005301,15
4861,WK005302,20.3
4910,WK005303,10.4
4959,WK005500,11.9
5309,WK005600,14.3
5365,WK005601,20.9
5407,WK005602,19.1
5456,WK005603,10.1
5498,WK005800,1.5
5582,WK005801,6.7
5652,WK005802,9.8
5694,WK005803,11.7
5750,WK005804,9.6
5785,WK005805,9.4
5876,WK005806,7.4
5939,WK005807,6.1
5995,WK005900,14.9
6072,WK005901,14.8
6121,WK005902,12.4
6191,WK006000,28.7
6254,WK006300,17.7
6317,WK006301,15.7
6366,WK006302,17.8
6394,WK006400,9.4
6604,WK007000,10.5
6681,WK007001,13.3
6744,WK007002,14.3
6800,WK007003,9.1
6849,WK007004,9
6898,WK007005,10
6940,WK007200,1.5
7031,WK007201,4.5
7052,WK007202,7
7080,WK007401,2.5
7283,WK007402,4.6
7339,WK007403,16.2
7374,WK007404,14.4
7451,WK007405,11.3
7465,WK007406,12.8
7493,WK007407,8.9
7507,WK007408,9
7521,WK007409,4.5
7535,WK007410,5.3
7549,WK007411,5.8
7563,WK007412,4
7577,WK007413,8.4
7591,WK007414,7.9
7605,WK007415,5.7
7626,WK007900,13.4
7647,WK007901,19
7717,WK007902,9.7
7759,WK007903,11.4
7801,WK008010,2.1
7885,WK008020,2.9
7913,WK008021,4
7941,WK008022,3.9
7983,WK008023,4.9
8032,WK008024,4.9
8046,WK008030,3
8074,WK008031,2.8
8116,WK008032,2.2
8151,WK008033,1.7
8172,WK008034,3.2
8186,WK008035,2.6
8207,WK008036,4.4
8235,WK008037,7.4
8256,WK008038,3.2
8270,WK008040,1.6
8284,WK008041,1.5
8298,WK008042,1.3
8312,WK008043,0.6
8361,WK008044,1.3
8410,WK008045,1.4
8438,WK008046,2
8452,WK008050,3.6
8508,WK008051,6
8564,WK008052,7
8592,WK008053,2.6
8662,WK008054,
8711,WK008060,3.5
8767,WK008061,2.8
8802,WK008062,3.2
8823,WK008063,3.7
8844,WK008064,4.5
8872,WK008065,4.6
8907,WK008100,10.1
8963,WK008101,8
9019,WK008200,17.7
9082,WK008201,17.2
9341,WK008300,12.7
9390,WK008301,7.1
9446,WK008302,14
9474,WK008303,10.6
9523,WK008500,21.6
9551,WK008501,17.3
9586,WK008502,21.6
9628,WK008503,18.1
9663,WK008504,19.4
9698,WK008505,19.2
9761,WK008600,12.7
9782,WK008601,9.4
9831,WK008602,11.5
9866,WK008603,9.3
9936,WK008604,7.2
9978,WK008605,12.8
10027,WK008800,34.4
10055,WK009000,2.9
10202,WK009001,7.7
10307,WK009100,2.4
10461,WK009300,32
10482,WK009301,37.2
10510,WK009302,38.8
10538,WK009303,40.1
10559,WK009304,41.3
10587,WK009305,44
10622,WK009600,33.1
10650,WK009800,13.3
10671,WK009801,12.1
10748,WK009802,16.2
10783,WK009803,19.2
10832,WK009804,17.9
10874,WK009805,15
10909,WK009806,9.7
10958,WK009807,12.4
11007,WK009808,14
11056,WK010400,21
11112,WK010401,27.6
11154,WK010402,33
11217,WK010600,1.4
11448,WK010601,2.9
11595,WK010602,2.9
11749,WK010603,1.5
11952,WK010604,3.9
12064,WK010605,3.2
12190,WK010606,4.6
12316,WK010607,4.7
12568,WK010608,5.5
12715,WK010699,5.4
12876,WK010910,1.3
12988,WK010911,4.4
13009,WK010912,6.8
13030,WK010913,4.7
13044,WK010914,7.3
13058,WK010920,5.6
13135,WK010930,12.2
13205,WK010940,11.3
13338,WK010950,14.6
13436,WK011400,4.2
13506,WK011401,10.4
13562,WK011402,12.5
13597,WK011403,9.9
13646,WK011404,12
13688,WK011405,6.8
13730,WK011406,10.9
13765,WK011407,10
13814,WK011408,9.8
13877,WK011409,13.4
13905,WK011410,10.5
13954,WK011411,3.5
14045,WK011412,9.9
14059,WK011413,11
14087,WK011421,17.8
14122,WK011432,16.1
14157,WK011805,4.1
14437,WK011806,7.1
14528,WK011900,3.4
14675,WK011901,7.9
14766,WK011902,4.2
14815,WK014000,11
14892,WK014001,14.9
14962,WK014002,12.2
14983,WK014003,13.5
15060,WK014004,9.9
15144,WK014110,3.5
15179,WK014111,2.9
15242,WK014112,4.9
15277,WK014113,6
15319,WK014114,3.3
15382,WK014115,2.2
15417,WK014116,1.7
