ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
1510,WK000300  ,3.9
1945,WK000500  ,1.6
1990,WK000700  ,12.1
2000,WK000701  ,14.3
2005,WK000702  ,7.5
2574,WK000900  ,7.6
2581,WK000901  ,11.1
3528,WK001000  ,1.7
3535,WK001001  ,7.5
3541,WK001002  ,11.5
3549,WK001003  ,8.1
5865,WK001400  ,1.1
5874,WK001401  ,1.9
5885,WK001402  ,2.2
5890,WK001403  ,1.8
5894,WK001404  ,0.9
5900,WK001405  ,2.2
5913,WK001406  ,2
5921,WK001407  ,1
5928,WK001408  ,5.1
5942,WK001409  ,4.6
5951,WK001410  ,3
5958,WK001411  ,4.5
5967,WK001412  ,3.9
5980,WK001413  ,6.3
5985,WK001500  ,19.6
5993,WK001501  ,22.3
5996,WK001502  ,13
6001,WK001503  ,17.4
6558,WK001700  ,2.8
6565,WK001701  ,6
7682,WK001801  ,11.8
7690,WK001802  ,12.1
7701,WK001803  ,10.7
7708,WK001805  ,7.8
7711,WK001806  ,14.2
7718,WK001807  ,12.1
7721,WK001808  ,8.4
7726,WK001809  ,5.8
7728,WK001811  ,10.3
8585,WK002200  ,16
8592,WK002201  ,18.2
8600,WK002202  ,16
8604,WK002204  ,14
8608,WK002205  ,11.9
8611,WK002206  ,9.4
8614,WK002207  ,11.7
9406,WK002400  ,11.2
9414,WK002401  ,9.1
9419,WK002402  ,8.1
9425,WK002403  ,12.4
9622,WK002500  ,14.7
9632,WK002501  ,13.8
404,WK003401  ,4.9
418,WK003402  ,2.8
441,WK003403  ,6.6
459,WK003404  ,1.1
469,WK003405  ,8.3
474,WK003406  ,
12758,WK003701  ,2.8
12772,WK003702  ,9.4
12777,WK003703  ,9.9
12782,WK003704  ,10.8
12787,WK003705  ,8.5
12572,WK004000  ,14.7
12582,WK004001  ,15.8
12588,WK004002  ,12.3
12595,WK004003  ,10
12602,WK004004  ,12.3
13998,WK004700  ,1.3
14007,WK004701  ,4.5
14012,WK004702  ,3.4
14478,WK004800  ,20.6
14485,WK004801  ,15
14492,WK004802  ,19
14500,WK004803  ,15.9
14505,WK004804  ,16.5
14516,WK004805  ,18.5
14519,WK004806  ,15.3
15695,WK005000  ,13
15321,WK005300  ,9.6
15328,WK005301  ,15.6
15333,WK005302  ,11.8
15340,WK005303  ,8.1
15827,WK005600  ,14.3
15833,WK005601  ,21.8
15839,WK005602  ,19.6
15846,WK005603  ,10.4
3881,WK005800  ,25.7
3894,WK005801  ,31.2
3904,WK005802  ,30.7
3910,WK005803  ,35.4
3918,WK005804  ,34.1
3923,WK005805  ,33.2
3932,WK005806  ,26.5
3941,WK005807  ,29.8
148,WK005900  ,19.4
159,WK005901  ,14.9
166,WK005902  ,12.4
611,WK006000  ,46.5
2371,WK006300  ,18.2
2380,WK006301  ,16.1
2387,WK006302  ,18.2
5020,WK007000  ,10.6
5031,WK007001  ,13.6
5040,WK007002  ,14.4
5048,WK007003  ,9.1
5055,WK007004  ,9.4
5062,WK007005  ,10.5
6575,WK007200  ,1.5
6584,WK007201  ,4.7
6587,WK007202  ,7.4
6690,WK007401  ,2.1
6702,WK007402  ,6.2
6708,WK007403  ,4.7
6711,WK007404  ,10.8
6719,WK007406  ,2.3
6721,WK007407  ,4.6
6724,WK007409  ,12.3
8272,WK007900  ,24.9
8275,WK007901  ,27.3
8285,WK007902  ,24.3
8291,WK007903  ,21.3
8627,WK008010  ,2.5
8636,WK008020  ,3.5
8640,WK008021  ,4.5
8644,WK008022  ,4.2
8647,WK008023  ,5.4
8651,WK008024  ,5
8653,WK008030  ,3.5
8656,WK008031  ,3.2
8660,WK008032  ,2.5
8665,WK008033  ,2.1
8668,WK008034  ,3.4
8670,WK008035  ,2.8
8673,WK008036  ,4.5
8677,WK008037  ,7.7
8680,WK008038  ,3.1
8682,WK008040  ,1.8
8684,WK008041  ,1.7
8686,WK008042  ,1.4
8688,WK008043  ,1
8693,WK008044  ,1.6
8698,WK008045  ,1.3
8702,WK008046  ,1.7
8704,WK008050  ,3.6
8708,WK008051  ,6.3
8712,WK008052  ,7.2
8715,WK008053  ,2.4
8718,WK008054  ,3.8
8720,WK008056  ,
8722,WK008058  ,
8724,WK008060  ,3.8
8729,WK008061  ,3.2
8733,WK008062  ,3.6
8736,WK008063  ,4.1
8739,WK008064  ,4.9
8741,WK008065  ,5.1
8743,WK008069  ,
8745,WK008070  ,7.7
8751,WK008071  ,10.3
8757,WK008072  ,13.2
8760,WK008073  ,13.7
8764,WK008100  ,10.5
8772,WK008101  ,8.4
11038,WK008500  ,21.2
11042,WK008501  ,17.2
11047,WK008502  ,18.9
11053,WK008503  ,17.3
11058,WK008504  ,19.2
11063,WK008505  ,17.1
11093,WK008600  ,12
11096,WK008601  ,8.8
11103,WK008602  ,11.3
11108,WK008603  ,9.3
11116,WK008604  ,7.2
11122,WK008605  ,12.8
12280,WK008800  ,52
12657,WK009000  ,2.9
12676,WK009001  ,7.6
13324,WK009300  ,35.2
13327,WK009301  ,40.2
13331,WK009302  ,41.8
13335,WK009303  ,43.2
13338,WK009304  ,44.4
13342,WK009305  ,47
14523,WK009600  ,36
15100,WK009800  ,12.3
15103,WK009801  ,11
15114,WK009802  ,14.9
15119,WK009803  ,14.6
15126,WK009804  ,13.3
15132,WK009805  ,13.9
15137,WK009806  ,8.7
15144,WK009807  ,11.9
15151,WK009808  ,13.7
1626,WK010600  ,1.9
1640,WK010601  ,3
1647,WK010602  ,1.9
1654,WK010603  ,2.4
1666,WK010604  ,3.1
1671,WK010605  ,2.9
1682,WK010606  ,2
1688,WK010607  ,2.2
1707,WK010608  ,5.7
1726,WK010699  ,4.3
3202,WK010910  ,1.4
3218,WK010911  ,4.4
3221,WK010912  ,6.8
3224,WK010913  ,4.8
3226,WK010914  ,7.5
3228,WK010920  ,5.7
3239,WK010930  ,12.3
3249,WK010940  ,11.2
3268,WK010950  ,14.7
4690,WK011401  ,10.4
4698,WK011402  ,12.5
4703,WK011403  ,9.9
4710,WK011404  ,12
4716,WK011405  ,6.8
4722,WK011406  ,10.9
4727,WK011407  ,10
4734,WK011408  ,9.8
4743,WK011409  ,13.4
4747,WK011410  ,10.6
4754,WK011413  ,11.1
4758,WK011421  ,17.9
4763,WK011432  ,16.1
4767,WK011440  ,1.6
4769,WK011441  ,1.2
4772,WK011442  ,2.3
4774,WK011443  ,2.4
4776,WK011444  ,3
4778,WK011445  ,2.9
4780,WK011446  ,4.2
4782,WK011447  ,6.1
4784,WK011448  ,10
4786,WK011449  ,6.3
4788,WK011450  ,4.9
4790,WK011451  ,4.4
4794,WK011452  ,3.3
4797,WK011453  ,3.4
7620,WK011850  ,3.1
7630,WK011851  ,1.8
7641,WK011852  ,3.3
7644,WK011853  ,8.1
7648,WK011854  ,7.9
7652,WK011855  ,6.5
7655,WK011856  ,10.6
7658,WK011857  ,8.5
7661,WK011858  ,7.9
7664,WK011859  ,5.4
7667,WK011860  ,7.1
7672,WK011861  ,6.9
7674,WK011862  ,4.8
9751,WK011900  ,3.3
9755,WK011901  ,4.1
9758,WK011902  ,3.6
9762,WK011903  ,4.4
9767,WK011904  ,5.5
9770,WK011905  ,3.3
9773,WK011906  ,1.9
9778,WK011907  ,4.7
9781,WK011908  ,2.6
9783,WK011909  ,5.5
9786,WK011910  ,4.8
9792,WK011911  ,4.8
9796,WK011912  ,7.9
9807,WK011913  ,4.1
9263,WK014000  ,11.6
9274,WK014001  ,14.9
9284,WK014002  ,12.4
9287,WK014003  ,13.7
9298,WK014004  ,10
323,WK014110  ,3.5
328,WK014111  ,2.9
337,WK014112  ,4.9
342,WK014113  ,6
348,WK014114  ,3.3
357,WK014115  ,2.2
362,WK014116  ,1.7
369,WK014117  ,3.9
375,WK014118  ,6.8
383,WK014119  ,1.4
395,WK014120  ,6.2
400,WK014121  ,4.5
2650,WK014700  ,5.9
2661,WK014701  ,7.2
3357,WK014800  ,12
3368,WK014801  ,10.4
3376,WK014802  ,8.4
3379,WK014803  ,9.4
3382,WK014804  ,7.4
3384,WK014805  ,10.4
3386,WK014806  ,9.1
3392,WK014807  ,13.9
3581,WK015001  ,3.6
3589,WK015002  ,4.9
3591,WK015003  ,4.2
3598,WK015004  ,2.6
3606,WK015005  ,4.3
3609,WK015006  ,2.7
3615,WK015007  ,2.8
3622,WK015008  ,3.3
3626,WK015009  ,3.2
3634,WK015010  ,4.5
3646,WK015011  ,5.6
3650,WK015012  ,2.2
3653,WK015013  ,11
3655,WK015014  ,7.3
3659,WK015015  ,9.1
4812,WK015300  ,1.1
4822,WK015301  ,2.3
4830,WK015302  ,2
4840,WK015303  ,2.6
4843,WK015304  ,2.6
4851,WK015305  ,2.8
4856,WK015306  ,3.7
4867,WK015307  ,3.5
4872,WK015308  ,5.7
4882,WK015309  ,5.3
6043,WK015800  ,1.6
6061,WK015801  ,2.6
6066,WK015802  ,5
6069,WK015803  ,6.6
6072,WK015804  ,5.9
6074,WK015805  ,7.6
6076,WK015806  ,5
6078,WK015809  ,1.3
6372,WK016001  ,6.8
6375,WK016002  ,7.6
6377,WK016003  ,5.5
6379,WK016004  ,9.9
