ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
16,WK000300,3.9
72,WK000500,10.3
142,WK000700,12.1
212,WK000701,14.2
247,WK000702,7.4
324,WK000900,10.7
373,WK000901,13.1
429,WK001000,1.7
478,WK001001,7.4
520,WK001002,11.5
576,WK001003,8.1
639,WK001400,1.1
681,WK001401,3.1
737,WK001402,2.8
800,WK001403,1.8
835,WK001404,0.8
877,WK001405,2.1
933,WK001406,1.1
1010,WK001407,1.7
1066,WK001408,5.8
1143,WK001409,4
1220,WK001500,19.6
1276,WK001501,22.2
1297,WK001502,13
1332,WK001503,17.7
1367,WK001700,4.6
1416,WK001701,7.7
1486,WK001801,11.8
1542,WK001802,12.1
1619,WK001803,10.7
1668,WK001805,7.8
1689,WK001806,14.2
1738,WK001807,12
1759,WK001808,8.4
1794,WK001809,5.9
1808,WK001811,10.3
1885,WK002200,16.3
1934,WK002201,18.3
1990,WK002202,16.8
2018,WK002204,14.7
2046,WK002205,12.6
2067,WK002206,10.1
2088,WK002207,12.4
2116,WK002400,11.6
2172,WK002401,16.3
2207,WK002402,18.1
2249,WK002403,12.4
2312,WK002500,14.9
2382,WK002501,13.9
2438,WK003401,4.8
2550,WK003402,2.6
2732,WK003403,6.1
2858,WK003404,8.6
2935,WK003405,8.4
2970,WK003406,
2991,WK003701,2.5
3103,WK003702,9.1
3138,WK003703,9.8
3173,WK003704,10.3
3208,WK003705,7.9
3236,WK003900,4.9
3285,WK003901,4.2
3313,WK003902,10.5
3355,WK003903,7.1
3418,WK003904,12.8
3453,WK004000,14.6
3523,WK004001,15.5
3565,WK004002,12.1
3614,WK004003,10.3
3663,WK004004,12.2
3691,WK004700,1.6
3754,WK004701,4.4
3789,WK004702,3.9
3838,WK004800,20.1
3887,WK004801,14.9
3936,WK004802,18.7
3992,WK004803,15.3
4027,WK004804,16.4
4118,WK004805,18.1
4139,WK004806,16.1
4181,WK005000,12.8
4265,WK005100,9.6
4342,WK005101,4.7
4384,WK005102,8.2
4447,WK005103,12.8
4510,WK005104,15.8
4580,WK005105,9.6
4608,WK005106,7.7
4692,WK005200,1.3
4776,WK005300,15.6
4825,WK005301,15.1
4860,WK005302,20.3
4909,WK005303,10.4
4958,WK005500,11.9
5308,WK005600,14.3
5364,WK005601,20.9
5406,WK005602,19.1
5455,WK005603,10.1
5497,WK005800,1.4
5581,WK005801,6.7
5651,WK005802,9.8
5693,WK005803,11.7
5749,WK005804,9.6
5784,WK005805,9.4
5875,WK005806,7.4
5938,WK005807,6.1
5994,WK005900,14.9
6071,WK005901,14.8
6120,WK005902,12.4
6190,WK006000,28.7
6253,WK006300,17.7
6316,WK006301,15.7
6365,WK006302,17.8
6393,WK006400,9.4
6449,WK006500,4.8
6491,WK006501,5.5
6526,WK006502,10.2
6568,WK006503,5.5
6603,WK007000,10.5
6680,WK007001,13.3
6743,WK007002,14.3
6799,WK007003,9
6848,WK007004,9.3
6897,WK007005,10
6939,WK007200,1.5
7030,WK007201,4.5
7051,WK007202,7
7079,WK007401,2.5
7282,WK007402,4.6
7338,WK007403,16.2
7373,WK007404,14.4
7450,WK007405,11.3
7464,WK007406,12.8
7492,WK007407,8.9
7506,WK007408,9.1
7520,WK007409,4.4
7534,WK007410,5.4
7548,WK007411,5.8
7562,WK007412,4
7576,WK007413,8.5
7590,WK007414,7.9
7604,WK007415,5.7
7625,WK007900,13.4
7646,WK007901,19
7716,WK007902,9.7
7758,WK007903,11.4
7800,WK008010,2.1
7884,WK008020,2.9
7912,WK008021,4
7940,WK008022,3.9
7975,WK008023,4.9
8045,WK008030,3
8073,WK008031,2.8
8115,WK008032,2.2
8150,WK008033,1.7
8171,WK008034,3.2
8185,WK008035,2.6
8206,WK008036,4.4
8234,WK008037,7.5
8255,WK008038,3.2
8269,WK008040,1.6
8283,WK008041,1.5
8297,WK008042,1.3
8311,WK008043,0.6
8360,WK008044,1.3
8409,WK008045,1.5
8437,WK008046,2
8451,WK008050,3.6
8507,WK008051,6
8563,WK008052,7
8591,WK008053,2.6
8661,WK008054,3.8
8710,WK008060,3.4
8766,WK008061,2.8
8801,WK008062,3.2
8822,WK008063,3.7
8843,WK008064,4.5
8871,WK008065,4.8
8906,WK008100,10.1
8962,WK008101,8
9018,WK008200,17.7
9081,WK008201,17.2
9340,WK008300,12.7
9389,WK008301,7.1
9445,WK008302,14
9473,WK008303,10.6
9522,WK008500,21.6
9550,WK008501,17.4
9585,WK008502,21.6
9627,WK008503,18.1
9662,WK008504,19.4
9697,WK008505,19.2
9760,WK008600,12.7
9781,WK008601,9.4
9830,WK008602,11.6
9865,WK008603,9.3
9935,WK008604,7.2
9977,WK008605,12.8
10026,WK008800,34.4
10054,WK009000,2.9
10201,WK009001,7.6
10306,WK009100,2.4
10460,WK009300,32
10481,WK009301,37.2
10509,WK009302,38.8
10537,WK009303,40.2
10558,WK009304,41.3
10586,WK009305,44
10621,WK009600,33.1
10649,WK009800,13.3
10670,WK009801,12
10747,WK009802,16.2
10782,WK009803,19.2
10831,WK009804,17.9
10873,WK009805,15
10908,WK009806,9.7
10957,WK009807,12.4
11006,WK009808,14
11055,WK010400,21
11111,WK010401,27.6
11153,WK010402,33.1
11209,WK010600,1.4
11440,WK010601,2.8
11587,WK010602,4.4
11741,WK010603,1.5
11944,WK010604,3
12056,WK010605,4.9
12182,WK010606,5.7
12308,WK010607,5.5
12875,WK010910,1.3
12987,WK010911,4.4
13008,WK010912,6.9
13029,WK010913,4.7
13043,WK010914,7.3
13057,WK010920,5.6
13134,WK010930,12.2
13204,WK010940,11.2
13337,WK010950,14.7
13435,WK011400,4.3
13505,WK011401,10.4
13561,WK011402,12.5
13596,WK011403,9.9
13645,WK011404,12
13687,WK011405,6.8
13729,WK011406,10.9
13764,WK011407,10
13813,WK011408,9.8
13876,WK011409,13.4
13904,WK011410,10.5
13953,WK011411,3.5
14044,WK011412,9.9
14058,WK011413,11
14086,WK011421,17.8
14121,WK011432,16.1
14156,WK011805,4.1
14436,WK011806,7.1
14527,WK011900,3.3
14674,WK011901,7.9
14765,WK011902,4.2
14814,WK014000,11
14891,WK014001,14.9
14961,WK014002,12.2
14982,WK014003,13.5
15059,WK014004,9.8
15143,WK014110,3.5
15178,WK014111,2.9
15241,WK014112,4.9
15276,WK014113,6
15318,WK014114,3.3
15381,WK014115,2.2
15416,WK014116,1.7
15465,WK014117,3.9
15507,WK014118,6.8
15563,WK014119,1.4
15647,WK014120,6.2
15682,WK014121,4.5
15710,WK014700,5.7
15794,WK014701,7.2
15843,WK014800,11.8
15913,WK014801,10.6
15969,WK014802,8.3
15990,WK014803,9.6
16011,WK014804,8.2
16025,WK014805,
16039,WK014806,10.2
16095,WK014807,14
16158,WK015000,2.2
16214,WK015001,2.5
16263,WK015002,1
16319,WK015003,2.8
16340,WK015004,1.2
16382,WK015005,1.4
16403,WK015006,2
16452,WK015007,2.7
16529,WK015008,3.9
16606,WK015009,3.6
16676,WK015010,8.6
16732,WK015300,1.1
16872,WK015301,2.2
16984,WK015302,2
17124,WK015303,2.6
17166,WK015304,2.7
17278,WK015305,2.8
17348,WK015306,3.6
17495,WK015307,3.5
17565,WK015308,5.7
17698,WK015309,5.2
17845,WK015800,1.6
17971,WK015801,2.6
18006,WK015802,4.9
18027,WK015803,6.4
18048,WK015804,6.1
18062,WK015805,7.9
18076,WK015806,5
18090,WK015809,1.3
18111,WK016000,2.1
18188,WK016001,5.2
18216,WK016002,6.3
18244,WK016003,4.7
18272,WK016004,10.7
18321,WK016005,5.9
18363,WK016006,7.7
18398,WK016007,10.8
18454,WK016008,6
18496,WK016009,8.5
18531,WK016010,6.5
18573,WK016011,10
18650,WK016012,10.1
18748,WK016301,11.2
18874,WK016302,8.8
18937,WK016303,7.6
19014,WK016304,6.8
19105,WK016305,13.5
19210,WK016306,9.5
19287,WK016307,9.5
19322,WK016308,14.7
19357,WK016309,14.2
19399,WK016400,1.7
19455,WK016401,2.2
19525,WK016402,3.1
19609,WK016403,5.6
19763,WK016404,3.9
19833,WK016405,2.6
19945,WK016406,1.2
20057,WK016407,1
20169,WK016408,5.3
20267,WK016409,5.6
20414,WK016600,1.8
20547,WK016603,3.2
20610,WK016604,8.6
20631,WK016605,6.8
20652,WK016606,4.4
20666,WK016607,7.3
20680,WK016608,7.4
20694,WK016609,8
20715,WK016800,1.1
20785,WK016801,4.6
20834,WK016802,4.5
20876,WK016803,5.3
20925,WK016804,8.5
20974,WK017100,1.7
21044,WK017101,10.4
21198,WK017102,9.3
21247,WK017103,14.9
21289,WK017104,11.7
21338,WK017105,10.2
21394,WK017106,6.8
21443,WK017107,8.6
21492,WK017108,13.4
21555,WK017109,8.4
21681,WK017300,1.9
21989,WK017500,1.3
22038,WK017501,3
22108,WK017502,6.5
22129,WK017503,9.5
22164,WK017504,10.2
22192,WK017506,7.1
22234,WK017700,1.1
22304,WK017701,2.6
22374,WK017702,6.6
22395,WK017703,8.9
22423,WK017704,5.8
22458,WK017705,4.8
22493,WK017706,10.4
22514,WK017708,8
22577,WK017709,8.2
22598,WK017710,9.6
22633,WK018000,7.8
22696,WK018001,11.3
22724,WK018002,12.3
22759,WK018003,6.9
22801,WK018004,8.3
22836,WK018005,13.3
22850,WK018006,4.6
22864,WK018007,14.1
22885,WK018300,14.9
22913,WK018301,10.6
22934,WK018302,8.8
22962,WK018303,13.4
22983,WK018304,15.6
23004,WK018305,17.9
23039,WK018306,12.4
23067,WK018307,12.9
23095,WK018400,11.4
23193,WK018900,5.8
23270,WK018901,7.1
23326,WK018902,10.6
23347,WK018903,5.2
23382,WK018904,5.6
23445,WK018905,4.5
23480,WK019310,0.8
23508,WK019311,1.5
23578,WK019312,1
23599,WK019313,0.9
23655,WK019314,1.6
23676,WK019320,3.3
23704,WK019321,4.8
23739,WK019322,5
23809,WK019330,2.8
23844,WK019331,3.3
23879,WK019332,4.6
23907,WK019340,2.6
23956,WK019341,4.6
23984,WK019350,3.1
24054,WK019351,3.7
24103,WK019352,6.9
24131,WK019600,11.1
24236,WK019601,7.3
24278,WK019701,8.2
24362,WK019702,6.9
24397,WK019703,7.9
24439,WK019704,16.5
24481,WK020001,1.3
24502,WK020002,1.4
24558,WK020003,1.7
24649,WK020004,2.7
24719,WK020005,4.9
24782,WK020006,4.2
24845,WK020007,3.5
24908,WK020008,1.9
24985,WK020010,15
25020,WK020011,7.1
25055,WK020012,9.6
25090,WK020013,9.9
25118,WK020014,3.9
25153,WK020015,5.2
25181,WK020016,8.1
25216,WK020017,5.9
25272,WK020201,2.6
25342,WK020202,2.5
25391,WK020203,3.3
25447,WK020204,2.7
25475,WK020205,1.8
25510,WK020206,1.5
25545,WK020207,1.8
25601,WK020208,2.7
25678,WK020209,0.9
25720,WK020210,2.6
25734,WK020211,2.4
25762,WK020212,2.3
25839,WK020213,4.9
25895,WK020214,3
25944,WK020215,3.7
25965,WK020216,3.1
25986,WK020217,3.4
26007,WK020218,3.5
26070,WK020219,1.8
26126,WK020220,1.8
26140,WK020221,2.7
26168,WK020222,2.2
26189,WK020223,1.2
26238,WK020224,4.3
26273,WK020300,2.3
26350,WK020301,7.1
26406,WK020302,9.6
26882,WK020901,7.9
27050,WK020902,10.5
27106,WK020903,6
27148,WK020904,13.3
27197,WK021301,9.3
27225,WK021302,9.8
27239,WK021303,7.2
27372,WK021304,4.9
27400,WK021305,8.2
27428,WK021306,8.1
27519,WK021400,7.5
27589,WK021401,5.7
