ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
2,WK000300  ,3.9
10,WK000500  ,10.4
20,WK000700  ,12.1
30,WK000701  ,14.2
35,WK000702  ,7.5
46,WK000900  ,10.8
53,WK000901  ,13.2
61,WK001000  ,1.7
68,WK001001  ,7.5
74,WK001002  ,11.5
82,WK001003  ,8.2
91,WK001400  ,1.1
101,WK001401  ,1.9
112,WK001402  ,2.2
117,WK001403  ,1.8
121,WK001404  ,0.9
127,WK001405  ,2.2
140,WK001406  ,2
148,WK001407  ,1
155,WK001408  ,5.1
169,WK001409  ,4.6
178,WK001410  ,3
185,WK001411  ,4.5
194,WK001412  ,3.9
207,WK001413  ,6.3
212,WK001500  ,19.6
220,WK001501  ,22.2
223,WK001502  ,13
228,WK001503  ,17.4
233,WK001700  ,2.8
240,WK001701  ,6.1
250,WK001801  ,11.8
258,WK001802  ,12.1
269,WK001803  ,10.7
276,WK001805  ,7.8
279,WK001806  ,14.2
286,WK001807  ,12.1
289,WK001808  ,8.4
294,WK001809  ,5.8
296,WK001811  ,10.3
307,WK002200  ,16
314,WK002201  ,18.2
322,WK002202  ,16
326,WK002204  ,14
330,WK002205  ,11.9
333,WK002206  ,9.4
336,WK002207  ,11.7
340,WK002400  ,11.7
348,WK002401  ,16.4
353,WK002402  ,18.1
359,WK002403  ,12.5
368,WK002500  ,14.7
378,WK002501  ,13.8
386,WK003401  ,4.9
400,WK003402  ,2.8
423,WK003403  ,6.6
441,WK003404  ,6.8
451,WK003405  ,8.4
456,WK003406  ,
459,WK003701  ,2.8
473,WK003702  ,9.4
478,WK003703  ,9.9
483,WK003704  ,10.9
488,WK003705  ,8.4
492,WK004000  ,14.7
502,WK004001  ,15.8
508,WK004002  ,12.3
515,WK004003  ,10.2
522,WK004004  ,12.3
526,WK004700  ,1.3
535,WK004701  ,4.6
540,WK004702  ,3.4
547,WK004800  ,20.6
554,WK004801  ,15
561,WK004802  ,19
569,WK004803  ,15.8
574,WK004804  ,16.5
585,WK004805  ,18.5
588,WK004806  ,15.3
592,WK005000  ,13
605,WK005300  ,15.7
612,WK005301  ,15.6
617,WK005302  ,20.4
624,WK005303  ,10.5
630,WK005600  ,14.4
636,WK005601  ,21.3
642,WK005602  ,19.6
649,WK005603  ,10.4
655,WK005800  ,1.5
668,WK005801  ,6.7
678,WK005802  ,10.3
684,WK005803  ,11.7
692,WK005804  ,9.6
697,WK005805  ,9.3
706,WK005806  ,7.4
715,WK005807  ,6.1
723,WK005900  ,15.1
734,WK005901  ,14.8
741,WK005902  ,12.4
751,WK006000  ,28.9
760,WK006300  ,18.2
769,WK006301  ,16.1
776,WK006302  ,18.2
780,WK007000  ,10.6
791,WK007001  ,13.6
800,WK007002  ,14.3
808,WK007003  ,9.1
815,WK007004  ,9.4
822,WK007005  ,10.5
828,WK007200  ,1.5
837,WK007201  ,4.7
840,WK007202  ,7.4
844,WK007401  ,2.1
856,WK007402  ,5.7
862,WK007403  ,4.7
865,WK007404  ,10.8
873,WK007406  ,2.3
875,WK007407  ,4.6
878,WK007409  ,12.3
883,WK007900  ,13.5
886,WK007901  ,19.8
896,WK007902  ,9.8
902,WK007903  ,11.5
908,WK008010  ,2.5
917,WK008020  ,3.5
921,WK008021  ,4.5
925,WK008022  ,4.2
928,WK008023  ,5.4
932,WK008024  ,5
934,WK008030  ,3.5
937,WK008031  ,3.2
941,WK008032  ,2.5
946,WK008033  ,2.1
949,WK008034  ,3.4
951,WK008035  ,2.8
954,WK008036  ,4.5
958,WK008037  ,7.7
961,WK008038  ,3.1
963,WK008040  ,1.8
965,WK008041  ,1.7
967,WK008042  ,1.4
969,WK008043  ,1
974,WK008044  ,1.6
979,WK008045  ,1.3
983,WK008046  ,1.7
985,WK008050  ,3.6
989,WK008051  ,6.3
993,WK008052  ,7.2
996,WK008053  ,2.4
999,WK008054  ,3.8
1001,WK008056  ,
1003,WK008058  ,
1005,WK008060  ,3.5
1010,WK008061  ,3.2
1014,WK008062  ,3.6
1017,WK008063  ,4.1
1020,WK008064  ,4.9
1022,WK008065  ,5.1
1024,WK008069  ,
1026,WK008070  ,7.7
1032,WK008071  ,10.3
1038,WK008072  ,13.2
1041,WK008073  ,13.7
1045,WK008100  ,10.5
1053,WK008101  ,8.4
1061,WK008500  ,21.2
1065,WK008501  ,17.3
1070,WK008502  ,19
1076,WK008503  ,17.3
1081,WK008504  ,19.2
1086,WK008505  ,17.1
1095,WK008600  ,12
1098,WK008601  ,8.8
1105,WK008602  ,11.3
1110,WK008603  ,9.3
1118,WK008604  ,7.2
1124,WK008605  ,12.8
1131,WK008800  ,34.2
1135,WK009000  ,2.9
1154,WK009001  ,7.5
1169,WK009300  ,35.1
1172,WK009301  ,40.2
1176,WK009302  ,41.8
1180,WK009303  ,43.2
1183,WK009304  ,44.4
1187,WK009305  ,47
1192,WK009600  ,36
1196,WK009800  ,12.3
1199,WK009801  ,11
1210,WK009802  ,14.9
1215,WK009803  ,14.6
1222,WK009804  ,13.3
1228,WK009805  ,13.9
1233,WK009806  ,8.7
1240,WK009807  ,11.9
1247,WK009808  ,13.7
1254,WK010600  ,1.9
1268,WK010601  ,3
1275,WK010602  ,1.9
1282,WK010603  ,2.4
1294,WK010604  ,3.1
1299,WK010605  ,2.9
1310,WK010606  ,2
1316,WK010607  ,2.2
1335,WK010608  ,5.7
1354,WK010699  ,4.2
1374,WK010910  ,1.4
1390,WK010911  ,4.4
1393,WK010912  ,6.8
1396,WK010913  ,4.8
1398,WK010914  ,7.5
1400,WK010920  ,5.7
1411,WK010930  ,12.3
1421,WK010940  ,11.3
1440,WK010950  ,14.7
1452,WK011401  ,10.5
1460,WK011402  ,12.5
1465,WK011403  ,9.9
1472,WK011404  ,12
1478,WK011405  ,6.8
1484,WK011406  ,10.9
1489,WK011407  ,10
1496,WK011408  ,9.8
1505,WK011409  ,13.4
1509,WK011410  ,10.6
1516,WK011413  ,11.1
1520,WK011421  ,18
1525,WK011432  ,16.1
1529,WK011440  ,1.6
1531,WK011441  ,1.2
1534,WK011442  ,2.4
1536,WK011443  ,2.4
1538,WK011444  ,3
1540,WK011445  ,2.9
1542,WK011446  ,4.2
1544,WK011447  ,6.1
1546,WK011448  ,10
1548,WK011449  ,6.3
1550,WK011450  ,4.9
1552,WK011451  ,4.3
1556,WK011452  ,3.3
1559,WK011453  ,3.4
1563,WK011850  ,3.1
1573,WK011851  ,1.8
