ID,WijkenEnBuurten,AantalInwoners_5
6068,WK001400  ,22735
6077,WK001401  ,19695
6088,WK001402  ,14055
6093,WK001403  ,18405
6097,WK001404  ,12355
6103,WK001405  ,3290
6116,WK001406  ,19315
6124,WK001407  ,10750
6131,WK001408  ,12210
6145,WK001409  ,18460
6154,WK001410  ,18335
6161,WK001411  ,15870
6170,WK001412  ,16355
6183,WK001413  ,1075
6187,WK001414  ,2595
6195,WK001415  ,5885
6203,WK001416  ,1310
6210,WK001417  ,12840
6222,WK001418  ,5115
6227,WK001419  ,2605
385,WK003401  ,23530
400,WK003402  ,109415
423,WK003403  ,56985
441,WK003404  ,18095
453,WK003405  ,6660
458,WK003406  ,0
13486,WK003701  ,18985
13500,WK003702  ,7135
13505,WK003703  ,2965
13510,WK003704  ,1520
13515,WK003705  ,1155
15062,WK004700  ,19925
15071,WK004701  ,2035
15076,WK004702  ,5455
17160,WK005000  ,22880
125,WK005900  ,11825
136,WK005901  ,3240
143,WK005902  ,12830
687,WK006000  ,3745
6798,WK007200  ,14715
6807,WK007201  ,615
6810,WK007202  ,470
6913,WK007401  ,29795
6925,WK007402  ,1830
6931,WK007403  ,1835
6934,WK007404  ,9090
6942,WK007406  ,1605
6944,WK007407  ,600
6947,WK007409  ,5890
8956,WK008010  ,5915
8965,WK008011  ,8535
8975,WK008020  ,12230
8985,WK008030  ,7830
8993,WK008031  ,3805
8996,WK008032  ,4575
9000,WK008040  ,6470
9005,WK008041  ,3805
9016,WK008050  ,3660
9020,WK008051  ,10425
9026,WK008060  ,6740
9030,WK008061  ,3470
9033,WK008062  ,3305
9044,WK008063  ,8495
9052,WK008070  ,6865
9057,WK008071  ,3310
9059,WK008072  ,5900
9063,WK008073  ,2795
9069,WK008074  ,50
9072,WK008080  ,3980
9081,WK008081  ,3910
9099,WK008082  ,8405
11673,WK008501  ,4775
11685,WK008502  ,1895
11689,WK008503  ,680
11692,WK008504  ,355
11695,WK008505  ,590
11698,WK008506  ,3220
11707,WK008507  ,320
11710,WK008508  ,1025
11713,WK008509  ,270
11716,WK008510  ,1575
11720,WK008511  ,9510
11739,WK008512  ,410
11742,WK008513  ,840
11767,WK008601  ,1905
11771,WK008602  ,3690
11781,WK008604  ,1015
11784,WK008605  ,7415
11793,WK008606  ,760
11796,WK008607  ,295
11799,WK008608  ,1050
11802,WK008609  ,1300
11805,WK008610  ,435
11808,WK008611  ,1670
11811,WK008613  ,830
11814,WK008614  ,1000
11817,WK008615  ,1530
11820,WK008616  ,4860
11828,WK008617  ,2055
13116,WK008800  ,930
13385,WK009000  ,44875
13404,WK009001  ,11170
14108,WK009300  ,2525
14111,WK009301  ,1290
14115,WK009302  ,285
14119,WK009303  ,145
14122,WK009304  ,490
14126,WK009305  ,135
15644,WK009600  ,1195
16613,WK009800  ,13090
16635,WK009801  ,670
16640,WK009802  ,375
16643,WK009803  ,845
16649,WK009804  ,690
16653,WK009805  ,455
16656,WK009806  ,485
16659,WK009807  ,910
16662,WK009808  ,1060
16665,WK009809  ,590
16669,WK009810  ,3645
16679,WK009811  ,550
16682,WK009812  ,340
16684,WK009813  ,890
16687,WK009814  ,495
16690,WK009815  ,1045
1736,WK010600  ,6705
1750,WK010601  ,5625
1757,WK010602  ,8160
1764,WK010603  ,9215
1776,WK010604  ,3585
1781,WK010605  ,4495
1792,WK010606  ,6490
1798,WK010607  ,11945
1817,WK010608  ,11440
1836,WK010699  ,1175
3456,WK010910  ,14185
3472,WK010911  ,910
3475,WK010912  ,190
3478,WK010913  ,80
3480,WK010914  ,125
3482,WK010920  ,5530
3493,WK010930  ,4285
3503,WK010940  ,6810
3522,WK010950  ,3200
4987,WK011401  ,3420
4995,WK011402  ,820
5000,WK011403  ,7690
5007,WK011404  ,1925
5013,WK011405  ,2080
5019,WK011406  ,4745
5024,WK011407  ,4740
5031,WK011408  ,11985
5040,WK011409  ,3025
5044,WK011410  ,4870
5051,WK011413  ,2125
5055,WK011421  ,1285
5060,WK011432  ,1675
5064,WK011440  ,4070
5066,WK011441  ,2980
5069,WK011442  ,6000
5071,WK011443  ,7645
5073,WK011444  ,7140
5075,WK011445  ,1095
5077,WK011446  ,8850
5079,WK011447  ,9270
5081,WK011448  ,2045
5083,WK011449  ,1380
5085,WK011450  ,3055
5087,WK011451  ,1575
5091,WK011452  ,1510
5094,WK011453  ,40
8029,WK011850  ,25080
8039,WK011851  ,14060
8050,WK011852  ,585
8053,WK011853  ,2335
8057,WK011854  ,4560
8061,WK011855  ,2085
8064,WK011856  ,1370
8067,WK011857  ,990
8070,WK011858  ,670
8073,WK011859  ,630
8076,WK011860  ,1840
8081,WK011861  ,635
8083,WK011862  ,765
9985,WK011900  ,5970
9989,WK011901  ,390
9992,WK011902  ,3890
9996,WK011903  ,6390
10001,WK011904  ,3965
10004,WK011905  ,655
10007,WK011906  ,7125
10012,WK011907  ,1335
10015,WK011908  ,105
10017,WK011909  ,60
10020,WK011910  ,110
10026,WK011911  ,130
10030,WK011912  ,3960
10041,WK011913  ,310
301,WK014110  ,5320
306,WK014111  ,7300
314,WK014112  ,5875
323,WK014113  ,6405
331,WK014114  ,6520
340,WK014115  ,3260
344,WK014116  ,6535
351,WK014117  ,3730
357,WK014118  ,10750
365,WK014119  ,13930
378,WK014120  ,1540
381,WK014121  ,1970
2899,WK014700  ,21285
2910,WK014701  ,2385
3612,WK014801  ,14860
3632,WK014802  ,9300
3644,WK014803  ,4740
3801,WK015001  ,8450
3809,WK015002  ,2305
3811,WK015003  ,11560
3818,WK015004  ,10750
3826,WK015005  ,5345
3829,WK015006  ,11240
3836,WK015007  ,5180
3843,WK015008  ,5925
3847,WK015009  ,12620
3855,WK015010  ,9210
3866,WK015011  ,4780
3870,WK015012  ,6075
3873,WK015013  ,300
3875,WK015014  ,1675
3879,WK015015  ,5815
5123,WK015300  ,26660
5133,WK015301  ,12660
5141,WK015302  ,21850
5151,WK015303  ,9070
5154,WK015304  ,19950
5162,WK015305  ,8705
5167,WK015306  ,33825
5178,WK015307  ,310
