ID,WijkenEnBuurten,AantalInwoners_5
14,WK000300XX,12130
54,WK000500XX,10550
104,WK000700XX,4290
154,WK000701XX,1040
179,WK000702XX,4170
234,WK000900XX,5800
269,WK000901XX,1470
309,WK001000XX,18570
344,WK001001XX,780
374,WK001002XX,3910
414,WK001003XX,4060
459,WK001400XX,16340
489,WK001401XX,22700
529,WK001402XX,22980
574,WK001403XX,16490
599,WK001404XX,10710
629,WK001405XX,7820
669,WK001406XX,22970
724,WK001407XX,15110
764,WK001408XX,14640
809,WK001409XX,32730
864,WK001500XX,5330
904,WK001501XX,1200
919,WK001502XX,2870
944,WK001503XX,2810
969,WK001700XX,16880
1004,WK001701XX,1820
1054,WK001801XX,6320
1094,WK001802XX,12420
1149,WK001803XX,2780
1184,WK001805XX,930
1199,WK001806XX,1710
1234,WK001807XX,1000
1249,WK001808XX,870
1274,WK001809XX,30
1284,WK001811XX,8350
1339,WK002200XX,10000
1374,WK002201XX,2820
1414,WK002202XX,4800
1434,WK002204XX,420
1454,WK002205XX,190
1469,WK002206XX,680
1484,WK002207XX,380
1504,WK002400XX,3930
1544,WK002401XX,1740
1569,WK002402XX,2790
1599,WK002403XX,2240
1644,WK002500XX,7930
1694,WK002501XX,2290
1734,WK003401XX,22370
1814,WK003402XX,106080
1939,WK003403XX,53350
2054,WK003404XX,140
2069,WK003405XX,1320
2089,WK003406XX,0
2104,WK003701XX,20160
2174,WK003702XX,7740
2199,WK003703XX,3040
2224,WK003704XX,1590
2249,WK003705XX,1280
2269,WK003900XX,6600
2304,WK003901XX,1620
2324,WK003902XX,650
2354,WK003903XX,3900
2399,WK003904XX,1470
2424,WK004000XX,4820
2474,WK004001XX,2230
2504,WK004002XX,3890
2539,WK004003XX,3980
2574,WK004004XX,630
2594,WK004700XX,20330
2639,WK004701XX,2190
2664,WK004702XX,5540
2699,WK004800XX,1900
2734,WK004801XX,2630
2769,WK004802XX,1220
2809,WK004803XX,760
2834,WK004804XX,8630
2889,WK004805XX,340
2904,WK004806XX,840
2924,WK005000XX,20290
2984,WK005100XX,12960
3039,WK005101XX,2620
3069,WK005102XX,1370
3114,WK005103XX,2360
3159,WK005104XX,4350
3209,WK005105XX,500
3229,WK005106XX,2940
3279,WK005200XX,18360
3339,WK005300XX,7620
3374,WK005301XX,1600
3399,WK005302XX,2790
3434,WK005303XX,1920
3469,WK005500XX,19270
3719,WK005600XX,9020
3749,WK005601XX,4020
3779,WK005602XX,2280
3814,WK005603XX,3050
3844,WK005800XX,13000
3904,WK005801XX,1800
3954,WK005802XX,1460
3984,WK005803XX,1770
4024,WK005804XX,1190
4049,WK005805XX,2390
4094,WK005806XX,2340
4139,WK005807XX,740
4179,WK005900XX,12170
4234,WK005901XX,3410
4269,WK005902XX,12510
4319,WK006000XX,3460
4364,WK006300XX,7300
4409,WK006301XX,1780
4444,WK006302XX,1850
4464,WK006400XX,9730
4504,WK006500XX,7090
4534,WK006501XX,2050
4559,WK006502XX,9080
4589,WK006503XX,1180
4614,WK007000XX,9550
4669,WK007001XX,2540
4714,WK007002XX,1000
4754,WK007003XX,2090
4789,WK007004XX,2170
4824,WK007005XX,3190
4854,WK007200XX,14370
4909,WK007201XX,680
4924,WK007202XX,510
4944,WK007401XX,30480
5034,WK007402XX,1390
5044,WK007403XX,850
5054,WK007404XX,3350
5069,WK007405XX,1550
5079,WK007406XX,810
5089,WK007407XX,650
5099,WK007408XX,280
5109,WK007409XX,360
5119,WK007410XX,160
5129,WK007411XX,800
5139,WK007412XX,1040
5149,WK007413XX,430
5159,WK007414XX,700
5169,WK007415XX,170
5184,WK007900XX,5680
5199,WK007901XX,1830
5249,WK007902XX,1820
5279,WK007903XX,3760
5309,WK008010XX,4450
5354,WK008020XX,2480
5374,WK008021XX,6630
5394,WK008022XX,3030
5409,WK008023XX,780
5429,WK008030XX,3310
5444,WK008031XX,4400
5464,WK008032XX,4630
5489,WK008033XX,1580
5504,WK008034XX,1870
5514,WK008035XX,2030
5529,WK008036XX,11160
5549,WK008037XX,110
5564,WK008038XX,80
5574,WK008040XX,2340
5584,WK008041XX,960
5594,WK008042XX,540
