ID,WijkenEnBuurten,AantalInwoners_5
2,WK000300  ,12065
10,WK000500  ,10495
20,WK000700  ,3980
30,WK000701  ,955
35,WK000702  ,3980
46,WK000900  ,6090
53,WK000901  ,1390
61,WK001000  ,17415
68,WK001001  ,725
74,WK001002  ,3700
82,WK001003  ,3855
91,WK001400  ,18695
97,WK001401  ,25055
105,WK001402  ,24640
114,WK001403  ,17945
119,WK001404  ,12260
125,WK001405  ,9635
133,WK001406  ,25040
144,WK001407  ,16445
152,WK001408  ,15735
161,WK001409  ,32855
172,WK001500  ,5275
180,WK001501  ,1170
183,WK001502  ,2860
188,WK001503  ,2860
193,WK001700  ,17050
200,WK001701  ,1730
210,WK001801  ,6790
218,WK001802  ,11985
229,WK001803  ,3050
236,WK001805  ,890
239,WK001806  ,1660
246,WK001807  ,1010
249,WK001808  ,815
254,WK001809  ,30
256,WK001811  ,8065
267,WK002200  ,10695
274,WK002201  ,2825
282,WK002202  ,4505
286,WK002204  ,410
290,WK002205  ,170
293,WK002206  ,660
296,WK002207  ,330
300,WK002400  ,3725
308,WK002401  ,1655
313,WK002402  ,2675
319,WK002403  ,2140
328,WK002500  ,8035
338,WK002501  ,2340
346,WK003401  ,22005
360,WK003402  ,108405
381,WK003403  ,55625
399,WK003404  ,8505
411,WK003405  ,1465
416,WK003406  ,5
419,WK003701  ,19660
433,WK003702  ,7515
438,WK003703  ,2865
443,WK003704  ,1550
448,WK003705  ,1205
452,WK004000  ,4525
462,WK004001  ,2270
468,WK004002  ,3850
475,WK004003  ,4305
482,WK004004  ,590
486,WK004700  ,20035
495,WK004701  ,2130
500,WK004702  ,5620
507,WK004800  ,1885
514,WK004801  ,2620
521,WK004802  ,1150
529,WK004803  ,745
534,WK004804  ,8970
545,WK004805  ,305
548,WK004806  ,225
552,WK005000  ,21500
565,WK005300  ,7595
572,WK005301  ,1610
577,WK005302  ,2735
584,WK005303  ,1910
590,WK005600  ,9665
596,WK005601  ,4005
602,WK005602  ,2195
609,WK005603  ,2905
615,WK005800  ,12620
627,WK005801  ,1740
637,WK005802  ,1420
643,WK005803  ,1735
651,WK005804  ,1225
656,WK005805  ,2365
665,WK005806  ,2310
674,WK005807  ,740
682,WK005900  ,12100
693,WK005901  ,3315
700,WK005902  ,12600
710,WK006000  ,3575
719,WK006300  ,7080
728,WK006301  ,1720
735,WK006302  ,1820
739,WK007000  ,9480
750,WK007001  ,2415
759,WK007002  ,1000
767,WK007003  ,2005
774,WK007004  ,2130
781,WK007005  ,3410
787,WK007200  ,14690
796,WK007201  ,655
799,WK007202  ,475
803,WK007401  ,28730
815,WK007402  ,1760
821,WK007403  ,1950
824,WK007404  ,9240
832,WK007406  ,1580
834,WK007407  ,620
837,WK007409  ,6010
842,WK007900  ,5525
845,WK007901  ,1840
855,WK007902  ,1805
861,WK007903  ,3705
867,WK008010  ,4920
876,WK008020  ,2720
880,WK008021  ,6925
884,WK008022  ,3510
887,WK008023  ,685
891,WK008024  ,345
893,WK008030  ,3245
896,WK008031  ,4445
900,WK008032  ,4900
905,WK008033  ,1705
908,WK008034  ,1710
910,WK008035  ,2010
913,WK008036  ,10830
917,WK008037  ,110
920,WK008038  ,80
922,WK008040  ,2525
924,WK008041  ,910
926,WK008042  ,740
928,WK008043  ,2530
933,WK008044  ,6845
938,WK008045  ,6515
942,WK008046  ,3600
944,WK008050  ,6065
948,WK008051  ,1260
952,WK008052  ,590
955,WK008053  ,2770
958,WK008054  ,875
962,WK008060  ,75
967,WK008061  ,4220
971,WK008062  ,3350
974,WK008063  ,1365
977,WK008064  ,3885
979,WK008065  ,35
981,WK008070  ,2655
987,WK008071  ,1290
993,WK008072  ,5770
996,WK008073  ,1305
1000,WK008100  ,8465
1008,WK008101  ,1815
1016,WK008500  ,9880
1020,WK008501  ,2490
1025,WK008502  ,1925
1031,WK008503  ,1810
1036,WK008504  ,4055
1041,WK008505  ,5500
1050,WK008600  ,7340
1053,WK008601  ,3340
1060,WK008602  ,2730
1065,WK008603  ,5810
1073,WK008604  ,6695
1079,WK008605  ,3940
1086,WK008800  ,940
1090,WK009000  ,44570
1109,WK009001  ,10895
1124,WK009300  ,2435
1127,WK009301  ,1285
1131,WK009302  ,285
1135,WK009303  ,135
1138,WK009304  ,500
1142,WK009305  ,130
1147,WK009600  ,1110
1151,WK009800  ,12540
1154,WK009801  ,990
1165,WK009802  ,455
1170,WK009803  ,775
1177,WK009804  ,685
1183,WK009805  ,1510
1188,WK009806  ,1385
1195,WK009807  ,1680
1202,WK009808  ,5420
1209,WK010600  ,5640
1223,WK010601  ,5800
1230,WK010602  ,8570
1237,WK010603  ,7730
1249,WK010604  ,3755
1254,WK010605  ,4095
1265,WK010606  ,6860
1271,WK010607  ,12670
1290,WK010608  ,10975
1309,WK010699  ,1085
1329,WK010910  ,14540
1345,WK010911  ,945
1348,WK010912  ,180
1351,WK010913  ,85
1353,WK010914  ,120
1355,WK010920  ,5630
1366,WK010930  ,4265
1376,WK010940  ,6715
1395,WK010950  ,3285
1407,WK011401  ,3585
1415,WK011402  ,815
1420,WK011403  ,7865
1427,WK011404  ,1910
1433,WK011405  ,2100
1439,WK011406  ,4860
1444,WK011407  ,4850
1451,WK011408  ,12070
1460,WK011409  ,3060
1464,WK011410  ,4865
1471,WK011413  ,2245
1475,WK011421  ,1305
1480,WK011432  ,1705
1484,WK011440  ,3605
1486,WK011441  ,2740
