ID,WijkenEnBuurten,AantalInwoners_5
2,WK000300  ,12050
10,WK000500  ,10550
20,WK000700  ,4025
30,WK000701  ,990
35,WK000702  ,3965
46,WK000900  ,6090
53,WK000901  ,1410
61,WK001000  ,17605
68,WK001001  ,735
74,WK001002  ,3795
82,WK001003  ,3885
91,WK001400  ,18080
97,WK001401  ,24530
105,WK001402  ,24330
114,WK001403  ,17750
119,WK001404  ,11980
125,WK001405  ,9370
133,WK001406  ,24690
144,WK001407  ,16050
152,WK001408  ,15745
161,WK001409  ,32880
172,WK001500  ,5325
180,WK001501  ,1190
183,WK001502  ,2855
188,WK001503  ,2855
193,WK001700  ,16895
200,WK001701  ,1745
210,WK001801  ,6820
218,WK001802  ,12055
229,WK001803  ,3070
236,WK001805  ,895
239,WK001806  ,1670
246,WK001807  ,1015
249,WK001808  ,830
254,WK001809  ,25
256,WK001811  ,8135
267,WK002200  ,10690
274,WK002201  ,2820
282,WK002202  ,4520
286,WK002204  ,405
290,WK002205  ,175
293,WK002206  ,655
296,WK002207  ,335
300,WK002400  ,3780
308,WK002401  ,1645
313,WK002402  ,2705
319,WK002403  ,2160
328,WK002500  ,8050
338,WK002501  ,2330
346,WK003401  ,21925
360,WK003402  ,108625
381,WK003403  ,55685
399,WK003404  ,7560
411,WK003405  ,1410
416,WK003406  ,5
419,WK003701  ,19770
433,WK003702  ,7475
438,WK003703  ,2840
443,WK003704  ,1550
448,WK003705  ,1245
452,WK004000  ,4580
462,WK004001  ,2265
468,WK004002  ,3910
475,WK004003  ,4270
482,WK004004  ,590
486,WK004700  ,20095
495,WK004701  ,2165
500,WK004702  ,5650
507,WK004800  ,1905
514,WK004801  ,2640
521,WK004802  ,1150
529,WK004803  ,740
534,WK004804  ,9155
545,WK004805  ,315
548,WK004806  ,225
552,WK005000  ,21260
565,WK005100  ,13050
576,WK005101  ,2620
582,WK005102  ,1350
591,WK005103  ,2515
600,WK005104  ,4385
610,WK005105  ,525
614,WK005106  ,2970
624,WK005300  ,7585
631,WK005301  ,1645
636,WK005302  ,2755
643,WK005303  ,1915
649,WK005500  ,19505
669,WK005600  ,9510
675,WK005601  ,3985
681,WK005602  ,2245
688,WK005603  ,2950
694,WK005800  ,12635
706,WK005801  ,1730
716,WK005802  ,1425
722,WK005803  ,1735
730,WK005804  ,1215
735,WK005805  ,2385
744,WK005806  ,2360
753,WK005807  ,730
761,WK005900  ,12195
772,WK005901  ,3345
779,WK005902  ,12565
789,WK006000  ,3525
798,WK006300  ,7105
807,WK006301  ,1730
814,WK006302  ,1805
818,WK007000  ,9415
829,WK007001  ,2430
838,WK007002  ,1000
846,WK007003  ,2025
853,WK007004  ,2150
860,WK007005  ,3450
866,WK007200  ,14705
875,WK007201  ,670
878,WK007202  ,475
882,WK007401  ,28705
893,WK007402  ,1765
899,WK007403  ,1965
902,WK007404  ,9300
910,WK007406  ,1580
913,WK007900  ,5480
916,WK007901  ,1845
926,WK007902  ,1810
932,WK007903  ,3695
938,WK008010  ,4820
947,WK008020  ,2700
951,WK008021  ,6930
955,WK008022  ,3435
958,WK008023  ,690
962,WK008024  ,325
964,WK008030  ,3225
967,WK008031  ,4460
971,WK008032  ,4830
976,WK008033  ,1665
979,WK008034  ,1810
981,WK008035  ,2030
984,WK008036  ,11020
988,WK008037  ,95
991,WK008038  ,75
993,WK008040  ,2525
995,WK008041  ,905
997,WK008042  ,755
999,WK008043  ,2550
1004,WK008044  ,6840
1009,WK008045  ,6530
1013,WK008046  ,3645
1015,WK008050  ,6000
1019,WK008051  ,1265
1023,WK008052  ,585
1026,WK008053  ,2675
1029,WK008054  ,735
1033,WK008060  ,95
1038,WK008061  ,4105
1042,WK008062  ,3300
1045,WK008063  ,1375
1048,WK008064  ,3895
1050,WK008065  ,35
1053,WK008100  ,8495
1061,WK008101  ,1815
1069,WK008201  ,10130
1078,WK008202  ,945
1081,WK008203  ,1040
1084,WK008204  ,635
1086,WK008205  ,400
1089,WK008206  ,205
1091,WK008207  ,155
1093,WK008208  ,50
1096,WK008500  ,9990
1100,WK008501  ,2495
1105,WK008502  ,1945
1111,WK008503  ,1790
1116,WK008504  ,4070
1121,WK008505  ,5535
1130,WK008600  ,7330
1133,WK008601  ,3370
1140,WK008602  ,2770
1145,WK008603  ,5800
1153,WK008604  ,6675
1159,WK008605  ,3935
1166,WK008800  ,960
1170,WK009000  ,44575
1189,WK009001  ,10880
1204,WK009300  ,2460
1207,WK009301  ,1285
1211,WK009302  ,280
1215,WK009303  ,145
1218,WK009304  ,495
1222,WK009305  ,130
1227,WK009600  ,1115
1231,WK009800  ,12585
1234,WK009801  ,995
1245,WK009802  ,455
1250,WK009803  ,785
1257,WK009804  ,685
1263,WK009805  ,1530
1268,WK009806  ,1405
1275,WK009807  ,1690
1282,WK009808  ,5455
1289,WK010600  ,5450
1303,WK010601  ,5730
1310,WK010602  ,8630
1317,WK010603  ,7870
1329,WK010604  ,3760
1334,WK010605  ,4085
1345,WK010606  ,6875
1351,WK010607  ,12785
1370,WK010608  ,10910
1389,WK010699  ,1100
1409,WK010910  ,14385
1425,WK010911  ,955
1428,WK010912  ,180
1431,WK010913  ,85
1433,WK010914  ,120
1435,WK010920  ,5640
1446,WK010930  ,4355
1456,WK010940  ,6710
1475,WK010950  ,3330
1487,WK011400  ,7050
1495,WK011401  ,3600
1503,WK011402  ,835
1508,WK011403  ,7820
1515,WK011404  ,1940
1521,WK011405  ,2110
1527,WK011406  ,4870
1532,WK011407  ,4960
1539,WK011408  ,12100
1548,WK011409  ,3040
1552,WK011410  ,4915
1559,WK011411  ,47740
1570,WK011412  ,2125
1572,WK011413  ,2245
1576,WK011421  ,1320
1581,WK011432  ,1715
1586,WK011805  ,51790
1624,WK011806  ,3080
1637,WK011900  ,28575
1649,WK011901  ,3815
1656,WK011902  ,330
1660,WK014000  ,4020
1671,WK014001  ,1230
1681,WK014002  ,1170
1684,WK014003  ,2880
1695,WK014004  ,1640
1707,WK014110  ,5130
1712,WK014111  ,6895
1721,WK014112  ,5225
1726,WK014113  ,5720
1732,WK014114  ,6725
1741,WK014115  ,3280
1746,WK014116  ,7200
1753,WK014117  ,3580
1759,WK014118  ,11385
1767,WK014119  ,14230
1779,WK014120  ,1550
1784,WK014121  ,1800
1788,WK014700  ,19780
1799,WK014701  ,1985
1806,WK014800  ,8465
1817,WK014801  ,2600
1825,WK014802  ,1200
1828,WK014803  ,1095
1831,WK014804  ,70
1833,WK014805  ,10
1835,WK014806  ,4750
1841,WK014807  ,9365
1850,WK015000  ,8720
1858,WK015001  ,11930
1865,WK015002  ,10450
1873,WK015003  ,5320
1876,WK015004  ,9820
1882,WK015005  ,3810
1885,WK015006  ,2320
1892,WK015007  ,19065
1903,WK015008  ,9610
1914,WK015009  ,11900
1924,WK015010  ,5620
1930,WK015300  ,24150
1940,WK015301  ,12400
1948,WK015302  ,23365
1958,WK015303  ,9535
1961,WK015304  ,19585
1969,WK015305  ,8615
1974,WK015306  ,34460
1985,WK015307  ,285
1990,WK015308  ,17335
2000,WK015309  ,8880
2011,WK015800  ,17670
2029,WK015801  ,2580
2034,WK015802  ,1195
2037,WK015803  ,1400
2040,WK015804  ,235
2042,WK015805  ,165
2044,WK015806  ,175
2046,WK015809  ,895
2049,WK016000  ,18950
2059,WK016001  ,750
2063,WK016002  ,1300
2067,WK016003  ,1155
2071,WK016004  ,3865
2078,WK016005  ,4500
2084,WK016006  ,2075
2089,WK016007  ,4245
2097,WK016008  ,3635
2103,WK016009  ,2045
2108,WK016010  ,820
2114,WK016011  ,12490
2125,WK016012  ,3750
2133,WK016301  ,4160
2140,WK016302  ,1730
2144,WK016303  ,6095
2149,WK016304  ,9100
2158,WK016305  ,5335
2168,WK016306  ,6855
2175,WK016307  ,1110
2177,WK016308  ,585
2179,WK016309  ,760
2182,WK016400  ,2575
2186,WK016401  ,10450
2191,WK016402  ,9795
2197,WK016403  ,12825
2208,WK016404  ,8950
2213,WK016405  ,6640
2221,WK016406  ,10215
2229,WK016407  ,7190
2237,WK016408  ,10375
2244,WK016409  ,1925
2255,WK016600  ,34775
2275,WK016603  ,11870
2284,WK016604  ,775
2287,WK016605  ,865
2290,WK016606  ,1005
2292,WK016607  ,830
2294,WK016608  ,625
2296,WK016609  ,175
2299,WK016800  ,13205
2304,WK016801  ,485
2308,WK016802  ,4225
2311,WK016803  ,3610
2314,WK016804  ,1025
2318,WK017101  ,25595
2337,WK017102  ,1340
2341,WK017103  ,2135
2344,WK017104  ,3745
2348,WK017105  ,1425
2353,WK017106  ,3010
2357,WK017107  ,1920
2361,WK017108  ,2350
2365,WK017109  ,1405
2369,WK017110  ,1630
2373,WK017111  ,1710
2377,WK017112  ,5
2380,WK017301  ,2200
2382,WK017302  ,2550
2384,WK017303  ,3815
2386,WK017304  ,1105
2388,WK017305  ,1795
2390,WK017306  ,3690
2392,WK017307  ,75
2394,WK017308  ,215
2396,WK017309  ,100
2398,WK017310  ,255
2400,WK017311  ,6170
2402,WK017312  ,5215
2404,WK017313  ,4845
2406,WK017314  ,160
2409,WK017500  ,8385
2416,WK017501  ,4535
2426,WK017502  ,385
2429,WK017503  ,1695
2434,WK017504  ,1260
2438,WK017506  ,1045
2444,WK017700  ,8395
2454,WK017701  ,10390
2464,WK017702  ,3615
2467,WK017703  ,2305
2471,WK017704  ,1255
2476,WK017705  ,1485
2481,WK017706  ,1160
2484,WK017708  ,6705
2493,WK017709  ,535
2496,WK017710  ,630
2501,WK018000  ,8730
2510,WK018001  ,3090
2514,WK018002  ,410
2519,WK018003  ,1270
2525,WK018004  ,1405
2528,WK018005  ,940
2530,WK018006  ,350
2532,WK018007  ,75
2535,WK018300  ,6390
2539,WK018301  ,3555
2542,WK018302  ,1890
2546,WK018303  ,4280
2549,WK018304  ,1275
2552,WK018305  ,1535
2557,WK018306  ,1355
2561,WK018307  ,885
2565,WK018400  ,19225
2578,WK018900  ,13135
2588,WK018901  ,1375
2594,WK018902  ,985
2597,WK018903  ,5570
2602,WK018904  ,1490
2608,WK018905  ,1250
2613,WK019310  ,3305
2617,WK019311  ,9720
2627,WK019312  ,6450
2630,WK019313  ,12605
2638,WK019314  ,2695
2641,WK019320  ,365
2645,WK019321  ,5230
2651,WK019322  ,21925
2661,WK019330  ,9945
2666,WK019331  ,13005
2671,WK019332  ,1000
2675,WK019340  ,4275
2682,WK019341  ,1120
2686,WK019350  ,14960
2696,WK019351  ,15055
2704,WK019352  ,890
2708,WK019600  ,8485
2723,WK019601  ,2480
2729,WK019701  ,4060
2742,WK019702  ,1945
2747,WK019703  ,12800
2755,WK019704  ,8275
2763,WK020001  ,6185
2766,WK020002  ,21295
2774,WK020003  ,14590
2786,WK020004  ,18590
2796,WK020005  ,26565
2805,WK020006  ,18770
2814,WK020007  ,20365
2824,WK020008  ,12425
2835,WK020010  ,2860
2840,WK020011  ,350
2845,WK020012  ,1635
2850,WK020013  ,3145
2854,WK020014  ,4395
2859,WK020015  ,1220
2863,WK020016  ,1855
2868,WK020017  ,3060
2876,WK020201  ,4945
2883,WK020202  ,6160
2887,WK020203  ,5920
2893,WK020204  ,7810
2897,WK020205  ,6525
2902,WK020206  ,4570
2905,WK020207  ,7325
2910,WK020208  ,8475
2917,WK020209  ,4325
2921,WK020210  ,4055
2923,WK020211  ,3470
2927,WK020212  ,7510
2934,WK020213  ,1955
2939,WK020214  ,4090
2943,WK020215  ,1250
2946,WK020216  ,4200
2949,WK020217  ,5725
2952,WK020218  ,7315
2958,WK020219  ,8130
2963,WK020220  ,2115
2965,WK020221  ,9275
2969,WK020222  ,12665
2972,WK020223  ,13145
2977,WK020224  ,8845
2982,WK020354  ,30910
3001,WK020355  ,10325
3014,WK020356  ,5205
3018,WK020357  ,2040
3021,WK020358  ,1460
