ID,WijkenEnBuurten,AantalInwoners_5
6310,WK001400  ,23065
6319,WK001401  ,20250
6330,WK001402  ,14035
6335,WK001403  ,18265
6339,WK001404  ,12515
6345,WK001405  ,3195
6358,WK001406  ,19605
6366,WK001407  ,10710
6373,WK001408  ,12220
6387,WK001409  ,18505
6396,WK001410  ,18615
6403,WK001411  ,15690
6412,WK001412  ,16190
6425,WK001413  ,1095
6429,WK001414  ,3065
6437,WK001415  ,5895
6445,WK001416  ,1295
6452,WK001417  ,13055
6464,WK001418  ,5065
6469,WK001419  ,2600
385,WK003401  ,1635
388,WK003402  ,2860
394,WK003403  ,2460
399,WK003404  ,2230
403,WK003405  ,2285
408,WK003406  ,3000
415,WK003407  ,2720
420,WK003408  ,3605
424,WK003409  ,1545
427,WK003410  ,500
431,WK003411  ,890
434,WK003414  ,80
436,WK003415  ,0
438,WK003416  ,10
441,WK003417  ,4825
447,WK003418  ,10365
456,WK003419  ,5670
461,WK003420  ,5480
467,WK003421  ,3535
471,WK003422  ,7355
478,WK003423  ,6020
483,WK003424  ,9895
492,WK003425  ,2455
496,WK003426  ,8015
506,WK003427  ,10260
515,WK003428  ,11020
526,WK003429  ,6210
531,WK003430  ,9705
539,WK003431  ,8045
545,WK003432  ,0
547,WK003434  ,15
551,WK003435  ,10
554,WK003436  ,0
556,WK003437  ,30
559,WK003438  ,5
562,WK003439  ,0
566,WK003440  ,0
570,WK003441  ,2330
573,WK003442  ,5795
578,WK003443  ,5025
583,WK003444  ,3985
587,WK003445  ,4395
593,WK003446  ,4005
597,WK003447  ,4375
602,WK003448  ,5265
607,WK003449  ,5285
612,WK003450  ,2590
615,WK003451  ,5975
621,WK003452  ,7095
629,WK003453  ,1025
632,WK003456  ,60
635,WK003457  ,5
638,WK003458  ,200
640,WK003459  ,35
643,WK003460  ,35
645,WK003461  ,4635
649,WK003462  ,3180
652,WK003463  ,7560
657,WK003464  ,0
659,WK003465  ,1110
661,WK003466  ,2865
664,WK003471  ,0
666,WK003472  ,5
668,WK003473  ,0
670,WK003474  ,0
673,WK003475  ,1440
678,WK003476  ,3375
683,WK003477  ,3310
687,WK003479  ,0
