ID,WijkenEnBuurten,AantalInwoners_5
13,WK000300,12190
53,WK000500,10600
103,WK000700,4320
153,WK000701,1020
178,WK000702,4180
233,WK000900,5780
268,WK000901,1470
308,WK001000,18910
343,WK001001,770
373,WK001002,3900
413,WK001003,4080
458,WK001400,16050
488,WK001401,22430
528,WK001402,23140
573,WK001403,16710
598,WK001404,10550
628,WK001405,7660
668,WK001406,22940
723,WK001407,15140
763,WK001408,14100
808,WK001409,32880
863,WK001500,5360
903,WK001501,1190
918,WK001502,2860
943,WK001503,2730
968,WK001700,16970
1003,WK001701,1840
1053,WK001801,6170
1093,WK001802,12530
1148,WK001803,2670
1183,WK001805,920
1198,WK001806,1740
1233,WK001807,1050
1248,WK001808,870
1273,WK001809,30
1283,WK001811,8410
1338,WK002200,9720
1373,WK002201,2830
1413,WK002202,4940
1433,WK002204,440
1453,WK002205,190
1468,WK002206,680
1483,WK002207,380
1503,WK002400,3990
1543,WK002401,1750
1568,WK002402,2800
1598,WK002403,2240
1643,WK002500,7790
1693,WK002501,2280
1733,WK003401,22500
1813,WK003402,105200
1938,WK003403,51750
2053,WK003404,130
2068,WK003405,1340
2088,WK003406,0
2103,WK003701,20370
2173,WK003702,7820
2198,WK003703,3040
2223,WK003704,1610
2248,WK003705,1280
2268,WK003900,6580
2303,WK003901,1600
2323,WK003902,670
2353,WK003903,3820
2398,WK003904,1450
2423,WK004000,4850
2473,WK004001,2100
2503,WK004002,3830
2538,WK004003,3750
2573,WK004004,660
2593,WK004700,20340
2638,WK004701,2230
2663,WK004702,5550
2698,WK004800,1930
2733,WK004801,2680
2768,WK004802,1220
2808,WK004803,740
2833,WK004804,8850
2888,WK004805,340
2903,WK004806,840
2923,WK005000,19700
2983,WK005100,12870
3038,WK005101,2630
3068,WK005102,1370
3113,WK005103,2390
3158,WK005104,4380
3208,WK005105,500
3228,WK005106,2920
3278,WK005200,18470
3338,WK005300,7680
3373,WK005301,1630
3398,WK005302,2760
3433,WK005303,1940
3468,WK005500,19310
3718,WK005600,9060
3748,WK005601,4000
3778,WK005602,2280
3813,WK005603,3120
3843,WK005800,13090
3903,WK005801,1790
3953,WK005802,1490
3983,WK005803,1780
4023,WK005804,1190
4048,WK005805,2390
4093,WK005806,2370
4138,WK005807,750
4178,WK005900,12190
4233,WK005901,3400
4268,WK005902,12560
4318,WK006000,3460
4363,WK006300,7370
4408,WK006301,1760
4443,WK006302,1830
4463,WK006400,9600
4503,WK006500,7150
4533,WK006501,2030
4558,WK006502,9090
4588,WK006503,1200
4613,WK007000,9630
4668,WK007001,2510
4713,WK007002,1010
4753,WK007003,2080
4788,WK007004,2190
4823,WK007005,3160
4853,WK007200,14260
4908,WK007201,680
4923,WK007202,530
4943,WK007401,30280
5033,WK007402,1390
5043,WK007403,830
5053,WK007404,3320
5068,WK007405,1550
5078,WK007406,820
5088,WK007407,640
5098,WK007408,270
5108,WK007409,370
5118,WK007410,160
5128,WK007411,790
5138,WK007412,1040
5148,WK007413,430
5158,WK007414,720
5168,WK007415,170
5183,WK007900,5680
5198,WK007901,1810
5248,WK007902,1820
5278,WK007903,3820
5308,WK008010,4350
5353,WK008020,2750
5373,WK008021,6650
5393,WK008022,3180
5408,WK008023,720
5428,WK008030,3350
5443,WK008031,4330
5463,WK008032,4470
5488,WK008033,1570
5503,WK008034,1890
5513,WK008035,2090
5528,WK008036,11260
5548,WK008037,130
5563,WK008038,70
5573,WK008040,2390
5583,WK008041,980
5593,WK008042,550
5603,WK008043,2150
5628,WK008044,6920
5653,WK008045,6880
5673,WK008046,3700
5683,WK008050,4770
5718,WK008051,1260
5738,WK008052,600
5758,WK008053,2570
5778,WK008054,70
5793,WK008060,100
5823,WK008061,3920
5838,WK008062,3200
5853,WK008063,1410
5868,WK008064,4040
5878,WK008065,40
5893,WK008100,8480
5933,WK008101,1940
5973,WK008200,10070
6018,WK008201,3360
6073,WK008300,6240
6108,WK008301,2760
6148,WK008302,2650
6168,WK008303,2160
6203,WK008500,9960
6223,WK008501,2540
6248,WK008502,1970
6278,WK008503,1850
6303,WK008504,4140
6328,WK008505,5770
6373,WK008600,7050
6388,WK008601,3270
6423,WK008602,2740
6448,WK008603,5910
6488,WK008604,6610
6518,WK008605,4000
6553,WK008800,950
6573,WK009000,44150
6668,WK009001,10810
6743,WK009100,33110
6853,WK009300,2470
6868,WK009301,1190
6888,WK009302,290
6908,WK009303,160
6923,WK009304,480
6943,WK009305,120
6968,WK009600,1140
6988,WK009800,12150
7003,WK009801,1050
7058,WK009802,450
7083,WK009803,810
7118,WK009804,700
7148,WK009805,1590
7173,WK009806,1390
7208,WK009807,1760
7243,WK009808,5610
7278,WK010400,5080
7308,WK010401,3470
7338,WK010402,2330
7378,WK010600,4830
7428,WK010601,10890
7483,WK010602,27210
7538,WK010603,7750
7598,WK010604,4800
7653,WK010605,290
7668,WK010606,1020
7708,WK010607,7600
7728,WK010910,14340
7808,WK010911,1000
7823,WK010912,170
7838,WK010913,90
7848,WK010914,120
7858,WK010920,5770
7913,WK010930,4340
7963,WK010940,6890
8058,WK010950,3310
8118,WK011400,7610
8158,WK011401,3600
8198,WK011402,820
8223,WK011403,8130
8258,WK011404,2030
8288,WK011405,2080
8318,WK011406,4840
8343,WK011407,4940
8378,WK011408,11900
8423,WK011409,3120
8443,WK011410,5000
8478,WK011411,47180
8533,WK011412,2230
8543,WK011413,2260
8563,WK011421,1330
8588,WK011432,1740
8613,WK011805,51320
8803,WK011806,3060
8868,WK011900,26910
8928,WK011901,3820
8963,WK011902,350
8983,WK014000,3880
9038,WK014001,1280
9088,WK014002,1170
9103,WK014003,2870
9158,WK014004,1660
9218,WK014110,5140
9243,WK014111,6750
9288,WK014112,5320
9313,WK014113,5780
9343,WK014114,6340
9388,WK014115,3340
9413,WK014116,7120
9448,WK014117,2960
9478,WK014118,11560
9518,WK014119,14460
9578,WK014120,1540
9603,WK014121,1790
9653,WK014700,18710
9713,WK014701,1810
9748,WK014800,7820
9798,WK014801,2870
9838,WK014802,1210
9853,WK014803,1080
9868,WK014804,80
9878,WK014805,0
9888,WK014806,4490
9918,WK014807,9000
9963,WK015000,8350
10003,WK015001,11780
10038,WK015002,10560
10078,WK015003,5240
10093,WK015004,9940
10123,WK015005,4460
10138,WK015006,2300
10173,WK015007,16870
10233,WK015008,10030
10288,WK015009,11760
10338,WK015010,5320
10368,WK015300,22100
10418,WK015301,12120
10458,WK015302,23040
10508,WK015303,9180
10523,WK015304,17790
10563,WK015305,8880
10588,WK015306,35940
10638,WK015307,340
10663,WK015308,16570
10708,WK015309,8500
10763,WK015800,18080
10853,WK015801,2190
10878,WK015802,1190
10893,WK015803,1420
10908,WK015804,260
10918,WK015805,150
10928,WK015806,170
10938,WK015809,900
10953,WK016000,17830
11003,WK016001,760
11023,WK016002,1300
11043,WK016003,1200
11063,WK016004,3770
11098,WK016005,4610
11128,WK016006,2070
11153,WK016007,4220
11193,WK016008,3620
11223,WK016009,2030
11248,WK016010,810
11278,WK016011,12130
11333,WK016012,3770
11373,WK016300,6070
11398,WK016301,17760
11478,WK016302,7250
11523,WK016303,2220
11573,WK016304,220
11633,WK016305,1140
11663,WK016306,1380
11763,WK016400,2390
11783,WK016401,9720
11808,WK016402,10300
11838,WK016403,13310
11898,WK016404,8940
11923,WK016405,7800
11963,WK016406,10080
12003,WK016407,7260
12043,WK016408,9630
12078,WK016409,2010
12138,WK016600,33770
12233,WK016603,11380
12278,WK016604,860
12293,WK016605,870
12308,WK016606,910
12318,WK016607,780
12328,WK016608,600
12338,WK016609,180
12353,WK016800,13140
12378,WK016801,560
12393,WK016802,4330
12408,WK016803,3380
12428,WK016804,1080
12448,WK017100,24690
12498,WK017101,2350
12513,WK017102,3890
12528,WK017103,1500
12543,WK017104,3150
12558,WK017105,1990
12573,WK017106,2040
12588,WK017107,1370
12603,WK017108,3440
12628,WK017109,1360
12648,WK017300,31420
12728,WK017500,8650
12763,WK017501,4260
12813,WK017502,390
12828,WK017503,1660
12853,WK017504,1260
12873,WK017506,1090
12903,WK017700,8390
12953,WK017701,10570
13003,WK017702,3730
13018,WK017703,2330
13038,WK017704,1280
13063,WK017705,1820
13088,WK017706,1140
13118,WK017708,6880
13163,WK017709,550
13178,WK017710,620
13213,WK018000,8470
13258,WK018001,3010
13278,WK018002,390
13303,WK018003,1280
13333,WK018004,1340
13348,WK018005,1010
13358,WK018006,340
13368,WK018007,70
13383,WK018300,6140
13403,WK018301,3530
13418,WK018302,1810
13438,WK018303,4260
13453,WK018304,1290
13468,WK018305,1480
13493,WK018306,1310
13513,WK018307,900
13533,WK018400,17580
13598,WK018900,12680
13653,WK018901,1390
13698,WK018902,1070
13713,WK018903,5580
13738,WK018904,1530
13768,WK018905,1180
13793,WK019310,2790
13813,WK019311,9120
13863,WK019312,6130
13878,WK019313,12130
13918,WK019314,2710
13933,WK019320,390
13953,WK019321,5120
13978,WK019322,15340
14028,WK019330,9460
14053,WK019331,13190
14078,WK019332,1060
14098,WK019340,4430
14133,WK019341,1070
14153,WK019350,15750
14203,WK019351,15100
14238,WK019352,850
14258,WK019600,8520
14333,WK019601,2480
14363,WK019701,4170
14423,WK019702,2000
14448,WK019703,12900
14478,WK019704,8490
14583,WK020001,6090
14598,WK020002,21560
14638,WK020003,14300
14718,WK020004,18130
14773,WK020005,27660
14818,WK020006,17890
14863,WK020007,18530
14908,WK020008,12700
14963,WK020010,2840
14988,WK020011,370
15013,WK020012,1730
15043,WK020013,3170
15063,WK020014,4380
15088,WK020015,1240
15108,WK020016,1830
15133,WK020017,3140
15173,WK020201,4400
15208,WK020202,5830
15228,WK020203,5830
15258,WK020204,8620
15278,WK020205,6250
15303,WK020206,4410
15318,WK020207,7450
15343,WK020208,7910
15378,WK020209,4190
15398,WK020210,4310
15408,WK020211,3510
15428,WK020212,7330
15463,WK020213,1790
15488,WK020214,4480
15508,WK020215,900
15523,WK020216,3650
15538,WK020217,4770
15553,WK020218,8060
15583,WK020219,8380
15608,WK020220,2070
15618,WK020221,9640
15638,WK020222,13150
15653,WK020223,13280
15678,WK020224,2340
15708,WK020300,29870
15763,WK020301,12410
15803,WK020302,8670
15963,WK020901,17160
16083,WK020902,3560
16123,WK020903,2420
16153,WK020904,2090
16303,WK021301,680
16358,WK021302,370
16368,WK021303,8500
16463,WK021304,700
16483,WK021305,860
16503,WK021306,10110
16568,WK021400,3460
16618,WK021401,3700
16638,WK021402,3040
16678,WK021403,6280
16713,WK021404,2070
16738,WK021405,6570
16778,WK021406,510
16803,WK021600,27180
16938,WK022100,11590
16998,WK022201,3660
17043,WK022202,6870
17093,WK022203,2830
17113,WK022204,3700
17158,WK022205,370
17188,WK022206,11070
17248,WK022207,7500
17328,WK022208,510
17363,WK022209,7290
17443,WK022211,5590
17613,WK022231,6850
18098,WK022501,18110
18173,WK022600,25600
18233,WK022801,9000
18263,WK022802,12770
18293,WK022803,16300
18348,WK022804,3450
18358,WK022810,7750
18378,WK022811,7400
18408,WK022812,8880
18433,WK022813,220
18468,WK022820,2340
18488,WK022830,14830
18523,WK022840,12550
18568,WK022850,3090
18583,WK022860,590
18598,WK022870,3460
18623,WK022880,2500
18643,WK022890,2370
18768,WK023001,11860
18813,WK023002,6270
18843,WK023003,4090
18873,WK023200,14970
18913,WK023201,4890
18943,WK023202,12680
18988,WK023203,450
19018,WK023300,25520
19073,WK023301,780
19113,WK023600,14090
19153,WK023601,3930
