ID,WijkenEnBuurten,AantalInwoners_5
11,WK000300,12055
43,WK000500,10510
83,WK000700,4265
123,WK000701,1005
143,WK000702,4010
187,WK000900,6070
215,WK000901,1410
247,WK001000,17795
275,WK001001,775
299,WK001002,3780
331,WK001003,3955
367,WK001400,17645
391,WK001401,24305
423,WK001402,24005
459,WK001403,17275
479,WK001404,11590
503,WK001405,9260
535,WK001406,24520
579,WK001407,15915
611,WK001408,15750
647,WK001409,32860
691,WK001500,5350
723,WK001501,1205
735,WK001502,2880
755,WK001503,2840
775,WK001700,16705
803,WK001701,1755
843,WK001801,6780
875,WK001802,12220
919,WK001803,3070
947,WK001805,895
959,WK001806,1690
987,WK001807,1040
999,WK001808,835
1019,WK001809,30
1027,WK001811,8225
1071,WK002200,10435
1099,WK002201,2840
1131,WK002202,4595
1147,WK002204,415
1163,WK002205,175
1175,WK002206,655
1187,WK002207,350
1203,WK002400,3785
1235,WK002401,1665
1255,WK002402,2685
1279,WK002403,2230
1315,WK002500,8075
1355,WK002501,2335
1391,WK003401,22165
1455,WK003402,108260
1555,WK003403,55390
1631,WK003404,5925
1671,WK003405,1415
1691,WK003406,5
1703,WK003701,19895
1767,WK003702,7490
1787,WK003703,2850
1807,WK003704,1535
1827,WK003705,1230
1967,WK004000,4560
2007,WK004001,2285
2031,WK004002,3935
2059,WK004003,4150
2087,WK004004,605
2103,WK004700,20050
2139,WK004701,2175
2159,WK004702,5695
2187,WK004800,1885
2215,WK004801,2660
2243,WK004802,1145
2275,WK004803,745
2299,WK004804,9290
2347,WK004805,305
2363,WK004806,230
2383,WK005000,21290
2431,WK005100,13090
2475,WK005101,2655
2499,WK005102,1355
2535,WK005103,2520
2571,WK005104,4420
2611,WK005105,525
2627,WK005106,2955
2723,WK005300,7635
2751,WK005301,1665
2771,WK005302,2780
2799,WK005303,1910
2823,WK005500,19380
2903,WK005600,9465
2935,WK005601,4000
2959,WK005602,2270
2987,WK005603,2950
3011,WK005800,12655
3059,WK005801,1730
3099,WK005802,1450
3123,WK005803,1740
3155,WK005804,1210
3175,WK005805,2390
3227,WK005806,2365
3263,WK005807,740
3295,WK005900,12155
3339,WK005901,3375
3367,WK005902,12560
3407,WK006000,3525
3443,WK006300,7235
3479,WK006301,1755
3507,WK006302,1810
