ID,WijkenEnBuurten,AantalInwoners_5
1613,WK000300  ,11640
3719,WK001001  ,800
3721,WK001002  ,3515
3727,WK001003  ,2215
3732,WK001004  ,3005
3741,WK001005  ,1510
3745,WK001006  ,5760
3753,WK001007  ,3755
3764,WK001008  ,0
3767,WK001009  ,4120
5893,WK001400  ,22865
5902,WK001401  ,19905
5913,WK001402  ,14440
5918,WK001403  ,18545
5922,WK001404  ,12295
5928,WK001405  ,3150
5941,WK001406  ,19345
5949,WK001407  ,10945
5956,WK001408  ,12325
5970,WK001409  ,17265
5979,WK001410  ,18560
5986,WK001411  ,16150
5995,WK001412  ,16255
6008,WK001413  ,1065
6012,WK001414  ,2025
6020,WK001415  ,5910
6028,WK001416  ,1330
6035,WK001417  ,12695
6047,WK001418  ,5200
6052,WK001419  ,2590
9428,WK002400  ,3430
9436,WK002401  ,1610
9441,WK002402  ,2515
9447,WK002403  ,1980
382,WK003401  ,23275
397,WK003402  ,109805
420,WK003403  ,56970
438,WK003404  ,16760
448,WK003405  ,5060
453,WK003406  ,0
13243,WK003701  ,19035
13257,WK003702  ,7000
13262,WK003703  ,2965
13267,WK003704  ,1530
13272,WK003705  ,1155
14799,WK004700  ,19905
14808,WK004701  ,2085
14813,WK004702  ,5390
16820,WK005000  ,22655
125,WK005900  ,11805
136,WK005901  ,3255
143,WK005902  ,12780
673,WK006000  ,3715
6619,WK007200  ,14640
6628,WK007201  ,610
6631,WK007202  ,470
6734,WK007401  ,29505
6746,WK007402  ,1825
6752,WK007403  ,1830
6755,WK007404  ,9180
6763,WK007406  ,1595
6765,WK007407  ,620
6768,WK007409  ,5935
8747,WK008010  ,5830
8756,WK008011  ,8575
8766,WK008020  ,12290
8776,WK008030  ,7915
8784,WK008031  ,3870
8787,WK008032  ,4385
8791,WK008040  ,6510
8796,WK008041  ,3820
8807,WK008050  ,3650
8811,WK008051  ,10475
8817,WK008060  ,6870
8821,WK008061  ,3475
8824,WK008062  ,3180
8835,WK008063  ,8465
8843,WK008070  ,6850
8848,WK008071  ,3275
8850,WK008072  ,5930
8854,WK008073  ,2410
8860,WK008074  ,50
8863,WK008080  ,3915
8872,WK008081  ,3920
8890,WK008082  ,8405
11430,WK008501  ,4735
11442,WK008502  ,1900
11446,WK008503  ,650
11449,WK008504  ,355
11452,WK008505  ,570
11455,WK008506  ,3245
11464,WK008507  ,300
11467,WK008508  ,1015
11470,WK008509  ,270
11473,WK008510  ,1555
11477,WK008511  ,9600
11496,WK008512  ,410
11499,WK008513  ,840
11524,WK008601  ,1875
11528,WK008602  ,3670
11538,WK008604  ,1025
11541,WK008605  ,7420
11550,WK008606  ,750
11553,WK008607  ,285
11556,WK008608  ,1035
11559,WK008609  ,1290
11562,WK008610  ,440
11565,WK008611  ,1685
11568,WK008613  ,830
11571,WK008614  ,1015
11574,WK008615  ,1550
11577,WK008616  ,4815
11585,WK008617  ,2035
12873,WK008800  ,945
13142,WK009000  ,45075
13161,WK009001  ,11075
