ID,WijkenEnBuurten,AantalInwoners_5
1552,WK000300  ,11800
1987,WK000500  ,10475
2672,WK000900  ,5945
2679,WK000901  ,1350
3621,WK001000  ,16885
3628,WK001001  ,695
3634,WK001002  ,3575
3642,WK001003  ,3705
5926,WK001400  ,22550
5935,WK001401  ,20240
5946,WK001402  ,14675
5951,WK001403  ,18620
5955,WK001404  ,12115
5961,WK001405  ,2375
5974,WK001406  ,19190
5982,WK001407  ,10940
5989,WK001408  ,12155
6003,WK001409  ,16625
6012,WK001410  ,18325
6019,WK001411  ,16325
6028,WK001412  ,16445
6041,WK001413  ,1060
6045,WK001414  ,1170
6054,WK001500  ,5310
6062,WK001501  ,1115
6065,WK001502  ,2865
6070,WK001503  ,2855
6627,WK001700  ,18120
6634,WK001701  ,1745
8614,WK002200  ,10840
8621,WK002201  ,2790
8629,WK002202  ,4530
8633,WK002204  ,395
8637,WK002205  ,165
8640,WK002206  ,630
8643,WK002207  ,325
9386,WK002400  ,3520
9394,WK002401  ,1620
9399,WK002402  ,2580
9405,WK002403  ,2010
9602,WK002500  ,8140
9612,WK002501  ,2345
405,WK003401  ,22790
419,WK003402  ,108800
442,WK003403  ,56315
460,WK003404  ,13430
470,WK003405  ,2655
475,WK003406  ,0
12848,WK003701  ,19360
12862,WK003702  ,7330
12867,WK003703  ,2865
12872,WK003704  ,1550
12877,WK003705  ,1155
14371,WK004700  ,19925
14380,WK004701  ,2095
14385,WK004702  ,5490
16226,WK005000  ,22410
15851,WK005300  ,7430
15858,WK005301  ,1575
15863,WK005302  ,2655
15870,WK005303  ,1900
16397,WK005600  ,10060
16403,WK005601  ,3890
16409,WK005602  ,2080
16416,WK005603  ,2885
3974,WK005800  ,12540
3987,WK005801  ,1675
3997,WK005802  ,1410
4003,WK005803  ,1735
4011,WK005804  ,1165
4016,WK005805  ,2255
4025,WK005806  ,2275
4034,WK005807  ,730
148,WK005900  ,11900
159,WK005901  ,3290
166,WK005902  ,12745
612,WK006000  ,3655
6644,WK007200  ,14660
6653,WK007201  ,640
6656,WK007202  ,485
6759,WK007401  ,29115
6771,WK007402  ,1840
6777,WK007403  ,1835
6780,WK007404  ,9230
6788,WK007406  ,1575
6790,WK007407  ,605
6793,WK007409  ,5990
8299,WK007900  ,5575
8302,WK007901  ,1820
8312,WK007902  ,1735
8318,WK007903  ,3700
8656,WK008010  ,5270
8665,WK008011  ,8485
8675,WK008020  ,12190
8685,WK008030  ,7875
8693,WK008031  ,3935
8696,WK008032  ,4240
8700,WK008040  ,6575
8705,WK008041  ,3890
8716,WK008050  ,3665
8720,WK008051  ,10710
8726,WK008060  ,6845
8730,WK008061  ,3445
8733,WK008062  ,2945
8744,WK008063  ,8395
8752,WK008070  ,6935
