ID,WijkenEnBuurten,AantalInwoners_5,,
7508,WK011413,2250,,
7524,WK011421,1330,,
7544,WK011432,1750,,
7564,WK011805,51550,,
7724,WK011806,3100,,
7776,WK011900,27840,,
7860,WK011901,3850,,
7912,WK011902,340,,
7940,WK014000,3970,,
7984,WK014001,1270,,
8024,WK014002,1170,,
8036,WK014003,2880,,
8080,WK014004,1650,,
8128,WK014110,5230,,
8148,WK014111,6720,,
8184,WK014112,5300,,
8204,WK014113,5850,,
8228,WK014114,6490,,
8264,WK014115,3310,,
8284,WK014116,6900,,
8312,WK014117,3430,,
8336,WK014118,11500,,
8368,WK014119,14360,,
8416,WK014120,1530,,
8436,WK014121,1820,,
8452,WK014700,19300,,
8496,WK014701,1810,,
8524,WK014800,7730,,
8564,WK014801,3120,,
8596,WK014802,1210,,
8608,WK014803,1090,,
8620,WK014804,80,,
8628,WK014805,10,,
8636,WK014806,4590,,
8668,WK014807,9220,,
8704,WK015000,8460,,
8736,WK015001,11810,,
8764,WK015002,10530,,
8796,WK015003,5350,,
8808,WK015004,9750,,
8832,WK015005,4010,,
8844,WK015006,2470,,
8872,WK015007,18290,,
8916,WK015008,9900,,
8960,WK015009,11850,,
9000,WK015010,5490,,
9032,WK015300,22720,,
9072,WK015301,12190,,
9104,WK015302,23430,,
9144,WK015303,9070,,
9156,WK015304,18550,,
9188,WK015305,8740,,
9208,WK015306,35690,,
9252,WK015307,330,,
9272,WK015308,16960,,
9312,WK015309,8400,,
9356,WK015800,17970,,
9428,WK015801,2460,,
9448,WK015802,1190,,
9460,WK015803,1420,,
9472,WK015804,250,,
9480,WK015805,160,,
9488,WK015806,170,,
9496,WK015809,870,,
9508,WK016000,18330,,
9552,WK016001,750,,
9568,WK016002,1290,,
9584,WK016003,1180,,
9600,WK016004,3810,,
9628,WK016005,4610,,
9652,WK016006,2100,,
9672,WK016007,4170,,
9704,WK016008,3610,,
9728,WK016009,2000,,
9748,WK016010,820,,
9772,WK016011,12240,,
9816,WK016012,3760,,
9848,WK016301,4850,,
9888,WK016302,1800,,
9904,WK016303,6330,,
9932,WK016304,9390,,
9976,WK016305,1320,,
10024,WK016306,7450,,
10060,WK016307,2210,,
10080,WK016308,1370,,
10100,WK016309,1130,,
10124,WK016400,2530,,
10156,WK016401,9760,,
10196,WK016402,10360,,
10244,WK016403,13120,,
10332,WK016404,8910,,
10372,WK016405,7010,,
10436,WK016406,10000,,
10500,WK016407,7170,,
10564,WK016408,10050,,
10620,WK016409,2020,,
10704,WK016600,33860,,
10780,WK016603,11780,,
10816,WK016604,830,,
10828,WK016605,850,,
10840,WK016606,940,,
10848,WK016607,820,,
10856,WK016608,610,,
10864,WK016609,180,,
10876,WK016800,13200,,
10916,WK016801,520,,
10944,WK016802,4280,,
10968,WK016803,3530,,
10996,WK016804,1060,,
11024,WK017100,25050,,
11064,WK017101,2090,,
11152,WK017102,3900,,
11180,WK017103,1460,,
11204,WK017104,3110,,
11232,WK017105,1960,,
11264,WK017106,2160,,
11292,WK017107,1320,,
11320,WK017108,3430,,
11356,WK017109,1340,,
11428,WK017300,31760,,
11604,WK017500,8510,,
