ID,WijkenEnBuurten,AantalInwoners_5
2,WK000300  ,12010
10,WK000500  ,10440
20,WK000700  ,4205
30,WK000701  ,960
35,WK000702  ,3985
46,WK000900  ,6075
53,WK000901  ,1375
61,WK001000  ,17180
68,WK001001  ,710
74,WK001002  ,3655
82,WK001003  ,3815
91,WK001400  ,21560
101,WK001401  ,20350
112,WK001402  ,14780
117,WK001403  ,18215
121,WK001404  ,11680
127,WK001405  ,2025
140,WK001406  ,18875
148,WK001407  ,11020
155,WK001408  ,12245
169,WK001409  ,16870
178,WK001410  ,17885
185,WK001411  ,16635
194,WK001412  ,16510
207,WK001413  ,1040
212,WK001500  ,5305
220,WK001501  ,1155
223,WK001502  ,2835
228,WK001503  ,2825
233,WK001700  ,17080
240,WK001701  ,1765
250,WK001801  ,6700
258,WK001802  ,11910
269,WK001803  ,3100
276,WK001805  ,880
279,WK001806  ,1640
286,WK001807  ,1015
289,WK001808  ,830
294,WK001809  ,25
296,WK001811  ,8225
307,WK002200  ,10655
314,WK002201  ,2825
322,WK002202  ,4475
326,WK002204  ,395
330,WK002205  ,165
333,WK002206  ,630
336,WK002207  ,325
340,WK002400  ,3670
348,WK002401  ,1680
353,WK002402  ,2640
359,WK002403  ,2145
368,WK002500  ,7985
378,WK002501  ,2320
386,WK003401  ,21935
400,WK003402  ,108150
423,WK003403  ,55830
441,WK003404  ,9480
451,WK003405  ,1510
456,WK003406  ,5
459,WK003701  ,19460
473,WK003702  ,7495
478,WK003703  ,2860
483,WK003704  ,1565
488,WK003705  ,1205
492,WK004000  ,4490
502,WK004001  ,2265
508,WK004002  ,3845
515,WK004003  ,4395
522,WK004004  ,585
526,WK004700  ,20020
535,WK004701  ,2090
540,WK004702  ,5585
547,WK004800  ,1870
554,WK004801  ,2615
561,WK004802  ,1135
569,WK004803  ,745
574,WK004804  ,9300
585,WK004805  ,315
588,WK004806  ,225
592,WK005000  ,21890
605,WK005300  ,7600
612,WK005301  ,1600
617,WK005302  ,2680
624,WK005303  ,1890
630,WK005600  ,9710
636,WK005601  ,3970
642,WK005602  ,2160
649,WK005603  ,2885
655,WK005800  ,12580
668,WK005801  ,1705
678,WK005802  ,1395
684,WK005803  ,1725
692,WK005804  ,1195
697,WK005805  ,2355
706,WK005806  ,2270
715,WK005807  ,745
723,WK005900  ,12065
734,WK005901  ,3335
741,WK005902  ,12580
751,WK006000  ,3590
760,WK006300  ,7115
769,WK006301  ,1685
776,WK006302  ,1785
780,WK007000  ,9395
791,WK007001  ,2400
800,WK007002  ,990
808,WK007003  ,2015
815,WK007004  ,2135
822,WK007005  ,3390
828,WK007200  ,14650
837,WK007201  ,650
840,WK007202  ,475
844,WK007401  ,28930
856,WK007402  ,1805
862,WK007403  ,1920
865,WK007404  ,9250
873,WK007406  ,1585
875,WK007407  ,595
878,WK007409  ,6045
883,WK007900  ,5515
886,WK007901  ,1840
896,WK007902  ,1760
902,WK007903  ,3720
908,WK008010  ,5030
917,WK008020  ,2845
921,WK008021  ,6805
925,WK008022  ,3480
928,WK008023  ,680
932,WK008024  ,375
934,WK008030  ,3225
937,WK008031  ,4405
941,WK008032  ,4915
946,WK008033  ,1680
949,WK008034  ,1825
951,WK008035  ,1895
954,WK008036  ,10780
958,WK008037  ,115
961,WK008038  ,80
963,WK008040  ,2510
965,WK008041  ,955
967,WK008042  ,795
969,WK008043  ,2615
974,WK008044  ,6780
979,WK008045  ,6565
983,WK008046  ,3645
985,WK008050  ,6060
989,WK008051  ,1240
993,WK008052  ,585
996,WK008053  ,2800
