ID,WijkenEnBuurten,AantalInwoners_5
1551,WK000300  ,11970
1986,WK000500  ,10480
2031,WK000700  ,4030
2041,WK000701  ,970
2046,WK000702  ,3915
2675,WK000900  ,5930
2682,WK000901  ,1360
3624,WK001000  ,16945
3631,WK001001  ,695
3637,WK001002  ,3605
3645,WK001003  ,3715
5972,WK001400  ,22635
5981,WK001401  ,20525
5992,WK001402  ,14825
5997,WK001403  ,18580
6001,WK001404  ,11840
6007,WK001405  ,2260
6020,WK001406  ,19105
6028,WK001407  ,10950
6035,WK001408  ,12260
6049,WK001409  ,16505
6058,WK001410  ,18170
6065,WK001411  ,16465
6074,WK001412  ,16400
6087,WK001413  ,1065
6091,WK001414  ,1035
6096,WK001500  ,5325
6104,WK001501  ,1125
6107,WK001502  ,2870
6112,WK001503  ,2840
6669,WK001700  ,17680
6676,WK001701  ,1890
7794,WK001801  ,6735
7802,WK001802  ,11880
7813,WK001803  ,3055
7820,WK001805  ,855
7823,WK001806  ,1640
7830,WK001807  ,990
7833,WK001808  ,855
7838,WK001809  ,25
7840,WK001811  ,8185
8699,WK002200  ,10815
8706,WK002201  ,2790
8714,WK002202  ,4520
8718,WK002204  ,385
8722,WK002205  ,160
8725,WK002206  ,650
8728,WK002207  ,315
9525,WK002400  ,3560
9533,WK002401  ,1635
9538,WK002402  ,2655
9544,WK002403  ,2060
9741,WK002500  ,8055
9751,WK002501  ,2330
405,WK003401  ,22475
419,WK003402  ,108605
442,WK003403  ,56120
460,WK003404  ,11625
470,WK003405  ,2085
475,WK003406  ,0
12978,WK003701  ,19415
12992,WK003702  ,7235
12997,WK003703  ,2875
13002,WK003704  ,1565
13007,WK003705  ,1155
12792,WK004000  ,4390
12802,WK004001  ,2245
12808,WK004002  ,3745
12815,WK004003  ,3790
12822,WK004004  ,565
14451,WK004700  ,19920
14460,WK004701  ,2085
14465,WK004702  ,5520
14924,WK004800  ,1850
14931,WK004801  ,2620
14938,WK004802  ,1135
14946,WK004803  ,705
14951,WK004804  ,9045
14962,WK004805  ,320
14965,WK004806  ,230
16142,WK005000  ,22455
15767,WK005300  ,7480
15774,WK005301  ,1570
15779,WK005302  ,2645
15786,WK005303  ,1900
16292,WK005600  ,9945
16298,WK005601  ,3875
16304,WK005602  ,2115
16311,WK005603  ,2920
3977,WK005800  ,12575
3990,WK005801  ,1685
4000,WK005802  ,1400
4006,WK005803  ,1710
4014,WK005804  ,1185
4019,WK005805  ,2315
4028,WK005806  ,2290
4037,WK005807  ,735
148,WK005900  ,11955
159,WK005901  ,3270
166,WK005902  ,12665
612,WK006000  ,3630
2465,WK006300  ,7065
2474,WK006301  ,1675
2481,WK006302  ,1750
5118,WK007000  ,9415
5129,WK007001  ,2345
5138,WK007002  ,990
5146,WK007003  ,1980
5153,WK007004  ,2140
5160,WK007005  ,3340
6686,WK007200  ,14720
6695,WK007201  ,645
6698,WK007202  ,490
6801,WK007401  ,29065
6813,WK007402  ,1820
6819,WK007403  ,1855
6822,WK007404  ,9265
6830,WK007406  ,1570
6832,WK007407  ,610
6835,WK007409  ,6015
8384,WK007900  ,5535
8387,WK007901  ,1840
8397,WK007902  ,1760
8403,WK007903  ,3735
8741,WK008010  ,5240
8750,WK008020  ,3195
8754,WK008021  ,6855
8758,WK008022  ,3420
8761,WK008023  ,685
8765,WK008024  ,485
8767,WK008030  ,3280
8770,WK008031  ,4330
8774,WK008032  ,4865
8779,WK008033  ,1775
8782,WK008034  ,1805
8784,WK008035  ,1795
8787,WK008036  ,10685
8791,WK008037  ,120
8794,WK008038  ,90
8796,WK008040  ,2440
8798,WK008041  ,945
8800,WK008042  ,780
8802,WK008043  ,2620
8807,WK008044  ,6660
8812,WK008045  ,6725
8816,WK008046  ,3775
8818,WK008050  ,5945
8822,WK008051  ,1260
8826,WK008052  ,570
8829,WK008053  ,2945
8832,WK008054  ,1385
8834,WK008056  ,40
8836,WK008058  ,0
8838,WK008060  ,65
8847,WK008061  ,4285
8851,WK008062  ,3285
8854,WK008063  ,1395
8857,WK008064  ,3865
8859,WK008065  ,35
8861,WK008069  ,5
8863,WK008070  ,2645
8869,WK008071  ,1320
8875,WK008072  ,5655
8878,WK008073  ,1360
8882,WK008100  ,8380
8890,WK008101  ,1725
11262,WK008500  ,9780
11266,WK008501  ,2440
11271,WK008502  ,1935
11277,WK008503  ,1835
11282,WK008504  ,4035
11287,WK008505  ,5515
11317,WK008600  ,7330
11320,WK008601  ,3330
11327,WK008602  ,2730
11332,WK008603  ,5775
11340,WK008604  ,6615
11346,WK008605  ,3930
