ID,WijkenEnBuurten,AantalInwoners_5
9,WK000300XX,12030
41,WK000500XX,10445
81,WK000700XX,4160
121,WK000701XX,1030
141,WK000702XX,4070
185,WK000900XX,5985
213,WK000901XX,1440
245,WK001000XX,17945
273,WK001001XX,810
297,WK001002XX,3890
329,WK001003XX,3985
365,WK001400XX,17305
389,WK001401XX,23515
421,WK001402XX,23275
457,WK001403XX,16525
477,WK001404XX,10860
501,WK001405XX,8315
533,WK001406XX,23830
577,WK001407XX,15640
609,WK001408XX,15425
645,WK001409XX,32605
689,WK001500XX,5270
721,WK001501XX,1205
733,WK001502XX,2845
753,WK001503XX,2820
773,WK001700XX,16710
801,WK001701XX,1805
841,WK001801XX,6565
873,WK001802XX,12295
917,WK001803XX,3050
945,WK001805XX,920
957,WK001806XX,1710
985,WK001807XX,1015
997,WK001808XX,845
1017,WK001809XX,30
1025,WK001811XX,8330
1069,WK002200XX,10255
1097,WK002201XX,2880
1129,WK002202XX,4640
1145,WK002204XX,415
1161,WK002205XX,180
1173,WK002206XX,635
1185,WK002207XX,360
1201,WK002400XX,3840
1233,WK002401XX,1725
1253,WK002402XX,2670
1277,WK002403XX,2220
1313,WK002500XX,8140
1353,WK002501XX,2310
1389,WK003401XX,22375
1453,WK003402XX,107845
1553,WK003403XX,54910
1629,WK003404XX,1680
1669,WK003405XX,1345
1689,WK003406XX,5
1701,WK003701XX,20030
1765,WK003702XX,7675
1785,WK003703XX,2915
1805,WK003704XX,1550
1825,WK003705XX,1250
1965,WK004000XX,4675
2005,WK004001XX,2225
2029,WK004002XX,3940
2057,WK004003XX,4090
2085,WK004004XX,630
2101,WK004700XX,20115
2137,WK004701XX,2170
2157,WK004702XX,5735
2185,WK004800XX,1885
2213,WK004801XX,2665
2241,WK004802XX,1190
2273,WK004803XX,745
2293,WK004804XX,8625
2345,WK004805XX,325
2357,WK004806XX,825
2381,WK005000XX,20905
2429,WK005100XX,13005
2473,WK005101XX,2605
2497,WK005102XX,1370
2533,WK005103XX,2495
2569,WK005104XX,4350
2609,WK005105XX,500
2625,WK005106XX,2965
2721,WK005300XX,7650
2749,WK005301XX,1700
2769,WK005302XX,2805
2797,WK005303XX,1920
2821,WK005500XX,19355
2901,WK005600XX,9275
2933,WK005601XX,4035
2957,WK005602XX,2275
2985,WK005603XX,2985
3009,WK005800XX,12725
3057,WK005801XX,1765
3097,WK005802XX,1425
3121,WK005803XX,1765
3153,WK005804XX,1210
3173,WK005805XX,2410
3225,WK005806XX,2360
3261,WK005807XX,750
3293,WK005900XX,12115
3337,WK005901XX,3395
3365,WK005902XX,12580
3405,WK006000XX,3500
3441,WK006300XX,7295
3477,WK006301XX,1760
3505,WK006302XX,1850
3521,WK006400XX,9905
3553,WK007000XX,9480
3597,WK007001XX,2480
3633,WK007002XX,1025
3665,WK007003XX,2045
3693,WK007004XX,2160
3721,WK007005XX,3410
3745,WK007200XX,14645
3789,WK007201XX,665
3801,WK007202XX,500
3817,WK007401XX,30935
3933,WK007402XX,1330
3965,WK007403XX,830
3985,WK007404XX,3360
4029,WK007405XX,1550
4037,WK007406XX,790
4053,WK007407XX,620
4061,WK007408XX,305
4069,WK007409XX,355
4077,WK007410XX,165
4085,WK007411XX,800
4093,WK007412XX,1035
4101,WK007413XX,440
4109,WK007414XX,710
4117,WK007415XX,195
4129,WK007900XX,5595
4141,WK007901XX,1805
4181,WK007902XX,1845
4205,WK007903XX,3760
4229,WK008010XX,4400
4277,WK008020XX,2515
4293,WK008021XX,6705
4309,WK008022XX,3095
4329,WK008023XX,700
4353,WK008024XX,240
4361,WK008030XX,3275
4377,WK008031XX,4400
4401,WK008032XX,4680
4421,WK008033XX,1655
4433,WK008034XX,1830
4441,WK008035XX,2140
4453,WK008036XX,11130
4469,WK008037XX,105
4481,WK008038XX,80
4489,WK008040XX,2235
4497,WK008041XX,1170
4505,WK008042XX,580
4513,WK008043XX,2515
4541,WK008044XX,6890
4569,WK008045XX,6695
4585,WK008046XX,3690
4593,WK008050XX,5935
4625,WK008051XX,1240
4657,WK008052XX,585
4673,WK008053XX,2815
4729,WK008060XX,105
4761,WK008061XX,3935
4781,WK008062XX,3265
4793,WK008063XX,1480
4805,WK008064XX,3955
4821,WK008065XX,35
4841,WK008100XX,8575
4873,WK008101XX,1860
4905,WK008200XX,10135
4941,WK008201XX,3490
5089,WK008300XX,6225
5117,WK008301XX,2635
5149,WK008302XX,2660
5165,WK008303XX,2230
5193,WK008500XX,9905
5209,WK008501XX,2520
5229,WK008502XX,1975
5253,WK008503XX,1785
5273,WK008504XX,4095
5293,WK008505XX,5960
5329,WK008600XX,7355
5341,WK008601XX,3310
5369,WK008602XX,2785
5389,WK008603XX,5860
5429,WK008604XX,6710
5453,WK008605XX,4015
5481,WK008800XX,940
5497,WK009000XX,44420
5581,WK009001XX,10855
5641,WK009100XX,33430
5729,WK009300XX,2440
5741,WK009301XX,1255
5757,WK009302XX,280
5773,WK009303XX,135
5785,WK009304XX,500
5801,WK009305XX,125
5821,WK009600XX,1160
5837,WK009800XX,12690
5849,WK009801XX,1040
5893,WK009802XX,450
5913,WK009803XX,810
5941,WK009804XX,685
5965,WK009805XX,1545
5985,WK009806XX,1405
6013,WK009807XX,1710
6041,WK009808XX,5495
6069,WK010400XX,5165
6101,WK010401XX,3485
6125,WK010402XX,2300
6157,WK010600XX,5405
6249,WK010601XX,5720
6289,WK010602XX,8610
6333,WK010603XX,7890
6401,WK010604XX,3855
6421,WK010605XX,4160
6481,WK010606XX,6925
6521,WK010607XX,12975
6657,WK010608XX,10220
6741,WK010699XX,1095
6833,WK010910XX,14460
6897,WK010911XX,985
6909,WK010912XX,165
6921,WK010913XX,90
6929,WK010914XX,115
6937,WK010920XX,5735
6981,WK010930XX,4405
7021,WK010940XX,6910
7097,WK010950XX,3255
7157,WK011400XX,7480
7193,WK011401XX,3650
7225,WK011402XX,830
7245,WK011403XX,8015
7273,WK011404XX,2005
7297,WK011405XX,2080
7321,WK011406XX,4750
7341,WK011407XX,4920
7369,WK011408XX,12035
7405,WK011409XX,3115
7421,WK011410XX,5175
7453,WK011411XX,47790
7501,WK011412XX,2170
7509,WK011413XX,2405
7525,WK011421XX,1310
7545,WK011432XX,1760
7565,WK011805XX,51750
7725,WK011806XX,3055
7777,WK011900XX,28175
7861,WK011901XX,3860
7913,WK011902XX,345
7941,WK014000XX,4005
7985,WK014001XX,1265
8025,WK014002XX,1145
8037,WK014003XX,2860
8081,WK014004XX,1650
8129,WK014110XX,5165
8149,WK014111XX,6780
8185,WK014112XX,5310
8205,WK014113XX,5845
8229,WK014114XX,6685
8265,WK014115XX,3225
8285,WK014116XX,6840
8313,WK014117XX,3515
8337,WK014118XX,11550
8369,WK014119XX,14360
8417,WK014120XX,1510
8437,WK014121XX,1810
8453,WK014700XX,19500
8497,WK014701XX,1830
8525,WK014800XX,7670
8565,WK014801XX,3320
8597,WK014802XX,1235
8609,WK014803XX,1085
8621,WK014804XX,80
8629,WK014805XX,10
8637,WK014806XX,4645
8669,WK014807XX,9220
8705,WK015000XX,8480
8737,WK015001XX,11915
8765,WK015002XX,10470
8797,WK015003XX,5325
8809,WK015004XX,9920
8833,WK015005XX,4065
8845,WK015006XX,2435
8873,WK015007XX,18755
8917,WK015008XX,9755
8961,WK015009XX,11830
9005,WK015010XX,5575
9033,WK015300XX,23470
9073,WK015301XX,12015
9105,WK015302XX,23410
9145,WK015303XX,9195
9157,WK015304XX,18840
9189,WK015305XX,8785
9209,WK015306XX,35100
9253,WK015307XX,330
9273,WK015308XX,17185
9313,WK015309XX,8720
9357,WK015800XX,17930
9429,WK015801XX,2480
9449,WK015802XX,1205
9461,WK015803XX,1405
9473,WK015804XX,245
9481,WK015805XX,155
9489,WK015806XX,175
9497,WK015809XX,895
9509,WK016000XX,18490
9553,WK016001XX,710
9569,WK016002XX,1295
9585,WK016003XX,1190
9601,WK016004XX,3865
9629,WK016005XX,4625
9653,WK016006XX,2075
9673,WK016007XX,4190
9705,WK016008XX,3670
9729,WK016009XX,2035
9749,WK016010XX,820
9773,WK016011XX,12370
9817,WK016012XX,3675
9849,WK016301XX,4825
9889,WK016302XX,1800
9905,WK016303XX,6455
9933,WK016304XX,9260
9977,WK016305XX,1330
10025,WK016306XX,7395
10061,WK016307XX,2180
10081,WK016308XX,1405
10101,WK016309XX,1145
10125,WK016400XX,2515
10157,WK016401XX,9820
10197,WK016402XX,10240
10245,WK016403XX,13045
10333,WK016404XX,8930
10373,WK016405XX,6820
10437,WK016406XX,10020
10501,WK016407XX,7155
10565,WK016408XX,10180
10621,WK016409XX,2045
10705,WK016600XX,34045
10781,WK016603XX,11795
10817,WK016604XX,800
10829,WK016605XX,855
10841,WK016606XX,940
10849,WK016607XX,820
10857,WK016608XX,615
10865,WK016609XX,180
10877,WK016800XX,13245
10917,WK016801XX,515
10945,WK016802XX,4280
10969,WK016803XX,3550
10997,WK016804XX,1055
11025,WK017100XX,25230
11065,WK017101XX,2225
11153,WK017102XX,3860
11181,WK017103XX,1455
11205,WK017104XX,3055
11233,WK017105XX,1950
11265,WK017106XX,2245
11293,WK017107XX,1360
11321,WK017108XX,3395
11357,WK017109XX,1320
11429,WK017300XX,31975
11605,WK017500XX,8475
11633,WK017501XX,4535
11673,WK017502XX,395
11685,WK017503XX,1685
11705,WK017504XX,1245
11721,WK017506XX,1075
11745,WK017700XX,8485
11785,WK017701XX,10400
11825,WK017702XX,3710
11837,WK017703XX,2335
11853,WK017704XX,1280
11873,WK017705XX,1510
11893,WK017706XX,1120
11905,WK017708XX,6820
11941,WK017709XX,540
11953,WK017710XX,605
11973,WK018000XX,8595
12009,WK018001XX,3010
12025,WK018002XX,415
12045,WK018003XX,1315
12069,WK018004XX,1410
12089,WK018005XX,990
12097,WK018006XX,345
12105,WK018007XX,75
12117,WK018300XX,6310
12133,WK018301XX,3585
12145,WK018302XX,1895
12161,WK018303XX,4325
12173,WK018304XX,1280
12185,WK018305XX,1495
12205,WK018306XX,1350
12221,WK018307XX,905
12237,WK018400XX,18310
12289,WK018900XX,12765
12329,WK018901XX,1395
12353,WK018902XX,980
12365,WK018903XX,5540
12385,WK018904XX,1535
12409,WK018905XX,1235
12429,WK019310XX,3040
12445,WK019311XX,9555
12485,WK019312XX,6235
12497,WK019313XX,12370
12529,WK019314XX,2545
12541,WK019320XX,385
12557,WK019321XX,5100
12577,WK019322XX,19445
12617,WK019330XX,9380
12637,WK019331XX,13045
12657,WK019332XX,1010
12673,WK019340XX,4250
12701,WK019341XX,1110
12717,WK019350XX,15445
12757,WK019351XX,15270
12785,WK019352XX,850
12801,WK019600XX,8625
12861,WK019601XX,2455
12885,WK019701XX,4160
12933,WK019702XX,1990
12953,WK019703XX,12910
12977,WK019704XX,8435
13001,WK020001XX,6180
13013,WK020002XX,21455
13045,WK020003XX,14580
13097,WK020004XX,18205
13137,WK020005XX,27045
13173,WK020006XX,18470
13209,WK020007XX,18605
13245,WK020008XX,12595
13289,WK020010XX,2900
13309,WK020011XX,370
13329,WK020012XX,1675
13349,WK020013XX,3150
13365,WK020014XX,4275
13385,WK020015XX,1230
13401,WK020016XX,1850
13421,WK020017XX,3145
13453,WK020201XX,4690
13493,WK020202XX,5715
13521,WK020203XX,6065
13553,WK020204XX,8290
13569,WK020205XX,6455
13589,WK020206XX,4615
13609,WK020207XX,6765
13641,WK020208XX,8640
13685,WK020209XX,4055
13709,WK020210XX,4050
13717,WK020211XX,3435
13733,WK020212XX,7585
13777,WK020213XX,1790
13809,WK020214XX,4025
13837,WK020215XX,1255
13849,WK020216XX,4375
13861,WK020217XX,5505
13873,WK020218XX,7120
13909,WK020219XX,8260
13941,WK020220XX,2150
13949,WK020221XX,9410
13965,WK020222XX,12720
13977,WK020223XX,13275
14005,WK020224XX,6765
14025,WK020354XX,29960
14101,WK020355XX,10180
14153,WK020356XX,5020
14169,WK020357XX,1990
14181,WK020358XX,1500
14197,WK020359XX,1560
14209,WK020360XX,1265
14221,WK020361XX,635
14233,WK020362XX,265
14245,WK020363XX,115
14257,WK020901XX,17605
14353,WK020902XX,3430
14385,WK020903XX,2415
14409,WK020904XX,2030
14437,WK021301XX,665
14453,WK021302XX,345
14461,WK021303XX,8530
14537,WK021304XX,700
14553,WK021305XX,830
14569,WK021306XX,10070
14621,WK021400XX,3605
14661,WK021401XX,3790
14677,WK021402XX,3075
14709,WK021403XX,6295
14737,WK021404XX,2120
14757,WK021405XX,6470
14789,WK021406XX,535
14809,WK021600XX,27500
14849,WK022101XX,11600
14901,WK022201XX,3620
14929,WK022202XX,6825
14965,WK022203XX,2825
14981,WK022204XX,3590
15017,WK022205XX,365
15037,WK022206XX,10875
15077,WK022207XX,7610
15133,WK022208XX,685
15153,WK022209XX,7250
15201,WK022211XX,5615
15233,WK022231XX,6850
15281,WK022501XX,18085
15341,WK022600XX,25595
15449,WK022801XX,9195
15481,WK022802XX,12860
15505,WK022803XX,15970
15537,WK022804XX,3635
15569,WK022810XX,7525
15597,WK022811XX,7330
15613,WK022812XX,8770
15633,WK022813XX,205
15669,WK022820XX,2425
15697,WK022830XX,14790
15741,WK022840XX,12700
15809,WK022850XX,3360
15833,WK022860XX,560
15853,WK022870XX,3520
15889,WK022880XX,2445
15921,WK022890XX,2465
15973,WK023001XX,11805
16009,WK023002XX,6220
16033,WK023003XX,4150
16057,WK023200XX,14850
16089,WK023201XX,4865
16113,WK023202XX,12740
16149,WK023203XX,425
16173,WK023300XX,25490
16217,WK023301XX,775
16249,WK023600XX,14140
16281,WK023601XX,3970
16317,WK023602XX,4850
16345,WK023603XX,3300
16369,WK024100XX,15075
16425,WK024101XX,3845
16449,WK024301XX,2345
16465,WK024302XX,45
16493,WK024303XX,2305
16509,WK024304XX,1395
16525,WK024305XX,5875
16557,WK024306XX,540
16577,WK024307XX,230
16601,WK024308XX,7865
16641,WK024309XX,1315
16657,WK024310XX,6630
16689,WK024311XX,4150
16729,WK024312XX,8015
16829,WK024313XX,75
16861,WK024314XX,630
16889,WK024315XX,1240
16925,WK024316XX,1355
16957,WK024400XX,10950
16993,WK024401XX,845
17009,WK024600XX,12330
17053,WK024601XX,5985
17081,WK025200XX,13315
17125,WK025201XX,3315
17169,WK026200XX,12595
17201,WK026201XX,1280
17225,WK026202XX,4080
17257,WK026203XX,1795
17277,WK026204XX,10455
17309,WK026205XX,3195
17341,WK026300XX,9620
17381,WK026301XX,4535
17405,WK026302XX,4655
17421,WK026303XX,1465
17437,WK026304XX,3480
17461,WK026500XX,5915
17485,WK026701XX,24960
17561,WK026702XX,1810
17589,WK026703XX,3405
17613,WK026704XX,400
17633,WK026705XX,8965
17661,WK026801XX,9665
17673,WK026802XX,33640
17709,WK026803XX,12880
17721,WK026804XX,16250
17741,WK026805XX,18120
17765,WK026806XX,22390
17785,WK026807XX,22820
17825,WK026808XX,15370
17857,WK026809XX,11825
17885,WK026900XX,6900
17925,WK026901XX,13575
17973,WK026902XX,2280
18005,WK027300XX,21380
18057,WK027301XX,2215
18077,WK027400XX,12890
18101,WK027401XX,11195
18129,WK027402XX,7570
18173,WK027500XX,17565
18221,WK027501XX,8510
